package	version	tree_hash	source	git_sha
FiniteDiff	2.33.0	5031f23e040bf17082e5b52422d77b5e844eefb1	/home/n/.julia/packages/FiniteDiff/Z4dvL	
FixedPointNumbers	0.8.6	59af96b98217c6ef4ae0dfe065ac7c20831d1a84	/home/n/.julia/packages/FixedPointNumbers/1T7Qh	
FlexiChains	0.6.39	587c76bae96afb16314651cfd79aa73024c6b3df	/home/n/.julia/packages/FlexiChains/as3VP	
Fontconfig_jll	2.17.1+0	f85dac9a96a01087df6e3a749840015a0ca3817d	/home/n/.julia/packages/Fontconfig_jll/SN8rj	
Format	1.3.7	9c68794ef81b08086aeb32eeaf33531668d5f5fc	/home/n/.julia/packages/Format/0LfJN	
ForwardDiff	1.4.6	3b0f72e2ffef1a139ac450725c9ecd01c0a3c050	/home/n/.julia/packages/ForwardDiff/wp23H	
FreeType	4.1.1	907369da0f8e80728ab49c1c7e09327bf0d6d999	/home/n/.julia/packages/FreeType/ATaWH	
FreeType2_jll	2.14.3+1	70329abc09b886fd2c5d94ad2d9527639c421e3e	/home/n/.julia/packages/FreeType2_jll/tFigR	
FreeTypeAbstraction	0.10.8	4ebb930ef4a43817991ba35db6317a05e59abd11	/home/n/.julia/packages/FreeTypeAbstraction/GGCCW	
FriBidi_jll	1.0.17+0	7a214fdac5ed5f59a22c2d9a885a16da1c74bbc7	/home/n/.julia/packages/FriBidi_jll/pOqh0	
FunctionWrappers	1.1.3	d62485945ce5ae9c0c48f124a84998d755bae00e	/home/n/.julia/packages/FunctionWrappers/Q5cBx	
FunctionWrappersWrappers	1.13.0	2bcce3ad6f6977d617928d7707fdc86ac83cce03	/home/n/.julia/packages/FunctionWrappersWrappers/7CPBX	
Functors	0.5.3	1ac2813982db52b974c9343124ca61adbf297316	/home/n/.julia/packages/Functors/PfDWx	
Future	nothing	nothing	/home/n/.julia/juliaup/julia-1.10.11+0.x64.linux.gnu/share/julia/stdlib/v1.10/Future	
GLM	1.9.5	c963639ae5b9aab54f543bdc7504f42f59880bec	/home/n/.julia/packages/GLM/US8qj	
GPUArraysCore	0.2.0	83cf05ab16a73219e5f6bd1bdfa9848fa24ac627	/home/n/.julia/packages/GPUArraysCore/aNaXo	
GPUCompiler	1.23.0	5e54ec63c34bcc878558b173c411b8efe6b08344	/home/n/.julia/packages/GPUCompiler/BSi1T	
Gamma	1.1.0	86f86b6168a016ed88e4ae4e64577b98c3b59e8e	/home/n/.julia/packages/Gamma/GjRkn	
GeoFormatTypes	0.4.5	7528a7956248c723d01a0a9b0447bf254bf4da52	/home/n/.julia/packages/GeoFormatTypes/teEG0	
GeoInterface	1.6.2	20f6b13b28c6304104968374f38c24ef71a8ea16	/home/n/.julia/packages/GeoInterface/rdf7M	
GeometryBasics	0.5.12	592cfb5ed8b02804f6a9c04091571c393081f73a	/home/n/.julia/packages/GeometryBasics/eeEec	
GettextRuntime_jll	0.22.4+0	45288942190db7c5f760f59c04495064eedf9340	/home/n/.julia/packages/GettextRuntime_jll/oLbdj	
Giflib_jll	5.2.3+0	6570366d757b50fabae9f4315ad74d2e40c0560a	/home/n/.julia/packages/Giflib_jll/8qnLE	
Glib_jll	2.88.3+0	090526e65de8f69648ac156daae153de8b56df62	/home/n/.julia/packages/Glib_jll/d3glN	
Graphite2_jll	1.3.16+0	69ffb934a5c5b7e086a0b4fee3427db2556fba6e	/home/n/.julia/packages/Graphite2_jll/qMpcV	
GridLayoutBase	0.11.3	ef70da5e123a06a29e2d6ddff0f09985bc226491	/home/n/.julia/packages/GridLayoutBase/K7sJt	
HTMX	1.0.0	nothing	/home/n/scratch/kb-agent-tmp/BayesianRegressionModels-docs-adaptive-centering/kb-hsgp-resample.zVw2Xl/pins/HTMX	d52ce5be0f42e3c375370c85499ba5c395f781a8
HTMXObjects	0.1.0	nothing	/home/n/scratch/kb-agent-tmp/BayesianRegressionModels-docs-adaptive-centering/kb-hsgp-resample.zVw2Xl/pins/HTMXObjects	a813640165d14cf9cb87502ecf632f0c42378a69
HTTP	1.11.0	51059d23c8bb67911a2e6fd5130229113735fc7e	/home/n/.julia/packages/HTTP/Y97L1	
HarfBuzz_jll	100.14004.0+0	9d9531a9cb63a9edc33836414e82a07e81710de2	/home/n/.julia/packages/HarfBuzz_jll/SooXK	
HashArrayMappedTries	0.2.0	2eaa69a7cab70a52b9687c8bf950a5a93ec895ae	/home/n/.julia/packages/HashArrayMappedTries/CozZ8	
HypergeometricFunctions	0.3.30	31bb6c92405c084617facc1d7ed9eb6c402d061e	/home/n/.julia/packages/HypergeometricFunctions/O0DoB	
ImageAxes	0.6.12	e12629406c6c4442539436581041d372d69c55ba	/home/n/.julia/packages/ImageAxes/1Fb97	
ImageBase	0.1.7	eb49b82c172811fd2c86759fa0553a2221feb909	/home/n/.julia/packages/ImageBase/z0ixH	
ImageCore	0.10.5	8c193230235bbcee22c8066b0374f63b5683c2d3	/home/n/.julia/packages/ImageCore/0ilgc	
ImageIO	0.6.10	f0f005f997dfb8c5fe23920d99458a9619873893	/home/n/.julia/packages/ImageIO/Ydbk5	
ImageMetadata	0.9.10	2a81c3897be6fbcde0802a0ebe6796d0562f63ec	/home/n/.julia/packages/ImageMetadata/cJkCb	
Imath_jll	3.2.2+0	dcc8d0cd653e55213df9b75ebc6fe4a8d3254c65	/home/n/.julia/packages/Imath_jll/hEXZc	
Indexing	1.1.1	ce1566720fd6b19ff3411404d4b977acd4814f9f	/home/n/.julia/packages/Indexing/iF84V	
IndirectArrays	1.0.0	012e604e1c7458645cb8b436f8fba789a51b257f	/home/n/.julia/packages/IndirectArrays/BUQO3	
Inflate	0.1.5	d1b1b796e47d94588b3757fe84fbf65a5ec4a80d	/home/n/.julia/packages/Inflate/AToAX	
InitialValues	0.3.1	4da0f88e9a39111c2fa3add390ab15f3a44f3ca3	/home/n/.julia/packages/InitialValues/OWP8V	
IntegerMathUtils	0.1.4	c72458f1962faeb003bf23cbdb75164fe6280906	/home/n/.julia/packages/IntegerMathUtils/ufRWt	
InteractiveUtils	nothing	nothing	/home/n/.julia/juliaup/julia-1.10.11+0.x64.linux.gnu/share/julia/stdlib/v1.10/InteractiveUtils	
Interfaces	0.3.2	331ff37738aea1a3cf841ddf085442f31b84324f	/home/n/.julia/packages/Interfaces/RHAn6	
Interpolations	0.16.3	48922d06068130f87e43edef52382e6a94305ae6	/home/n/.julia/packages/Interpolations/rXcvn	
IntervalArithmetic	1.0.12	1c531bf0f8a5c60a340926e058fd3f209b5eef5d	/home/n/.julia/packages/IntervalArithmetic/mlFMS	
IntervalSets	0.7.14	79d6bd28c8d9bccc2229784f1bd637689b256377	/home/n/.julia/packages/IntervalSets/2xOE8	
InverseFunctions	0.1.17	a779299d77cd080bf77b97535acecd73e1c5e5cb	/home/n/.julia/packages/InverseFunctions/4sFsZ	
InvertedIndices	1.3.1	6da3c4316095de0f5ee2ebd875df8721e7e0bdbe	/home/n/.julia/packages/InvertedIndices/jfcUx	
IrrationalConstants	0.2.6	b2d91fe939cae05960e760110b328288867b5758	/home/n/.julia/packages/IrrationalConstants/RokwY	
Isoband	0.1.1	f9b6d97355599074dc867318950adaa6f9946137	/home/n/.julia/packages/Isoband/qUEGP	
IterTools	1.10.0	42d5f897009e7ff2cf88db414a389e5ed1bdd023	/home/n/.julia/packages/IterTools/cLYFo	
IteratorInterfaceExtensions	1.0.0	a3f24677c21f5bbe9d2a714f95dcd58337fb2856	/home/n/.julia/packages/IteratorInterfaceExtensions/NZdaj	
JLLWrappers	1.8.0	7204148362dafe5fe6a273f855b8ccbe4df8173e	/home/n/.julia/packages/JLLWrappers/Kp7TC	
JSON	1.8.0	88352712893ec50bee3680605891eaf0e9ed6368	/home/n/.julia/packages/JSON/tMaHX	
