configuration	predictor	draw	basis	gradient	finite_difference	relative_error
Online	mu	1	19	-47.19351537098818	-47.19351538596804	3.1741354271882e-10
Online	mu	1	20	-3.77862032436028	-3.778620322874794	3.931291923902197e-10
Online	mu	5000	1	104.08682369350737	104.08682372654594	3.174136107767868e-10
Online	mu	5000	2	176.69000733894234	176.69000733225326	3.785770252034364e-11
Online	mu	5000	19	-30.850669691508713	-30.850669679380417	3.9312911876890205e-10
Online	mu	5000	20	15.480904741868695	15.480904730282777	7.484005745110609e-10
Online	mu	10000	1	34.83641709517669	34.836417106234244	3.1741356434034523e-10
Online	mu	10000	2	25.34257265925588	25.342572649292972	3.93129264255837e-10
Online	mu	10000	19	13.206642856503532	13.206642870079383	1.0279562869644842e-9
Online	mu	10000	20	13.622102672957915	13.622102672442212	3.785781448074371e-11
Online	log_sigma	1	1	-2.3336480017969117	-2.333648000879487	3.931290417778528e-10
Online	log_sigma	1	2	2.0359523565465265	2.0359523485129785	3.945842849996905e-9
Online	log_sigma	1	19	1.1477620398690602	1.1477620394178416	3.9312906539100366e-10
Online	log_sigma	1	20	0.8128836010785145	0.8128836000764749	1.0020396734589099e-9
Online	log_sigma	5000	1	2.43188284010233	2.431882842602199	1.027956264714147e-9
Online	log_sigma	5000	2	-20.51756128393267	-20.517561268577317	7.484005583755719e-10
Online	log_sigma	5000	19	0.15797444333763577	0.15797444241627545	9.213603213709121e-10
Online	log_sigma	5000	20	1.8796381826043462	1.8796381825331874	3.785774158212462e-11
Online	log_sigma	10000	1	-13.11947522344076	-13.119475218283112	3.9312917953224997e-10
Online	log_sigma	10000	2	-1.6810879499081859	-1.6810879498445437	3.785774719429964e-11
Online	log_sigma	10000	19	-0.3227634230462869	-0.32276342345483044	4.0854353233754637e-10
Online	log_sigma	10000	20	0.3628477244755004	0.36284772413353034	3.4197006337777225e-10
