frame	predictor	basis	candidate	loss	baseline	absolute_difference
NCP	sigma	5	1.0	-0.21859538120096467	-0.21859538120096467	0.0
NCP	sigma	6	0.0	-0.2744629365929477	-0.2744629365929477	0.0
NCP	sigma	6	0.1	-0.28044086321817213	-0.28044086321817213	0.0
NCP	sigma	6	0.2	-0.28525354804858905	-0.28525354804858905	0.0
NCP	sigma	6	0.3	-0.2888475200725002	-0.2888475200725002	0.0
NCP	sigma	6	0.4	-0.2911829572602647	-0.2911829572602647	0.0
NCP	sigma	6	0.5	-0.29223468284234	-0.29223468284234	0.0
NCP	sigma	6	0.6	-0.2919928495747866	-0.2919928495747866	0.0
NCP	sigma	6	0.7	-0.2904632748207591	-0.2904632748207591	0.0
NCP	sigma	6	0.8	-0.28766740477548974	-0.28766740477548974	0.0
NCP	sigma	6	0.9	-0.283641903110638	-0.283641903110638	0.0
NCP	sigma	6	1.0	-0.27843787660731184	-0.27843787660731184	0.0
NCP	sigma	7	0.0	-0.25488506761547325	-0.25488506761547325	0.0
NCP	sigma	7	0.1	-0.2652586551716567	-0.2652586551716567	0.0
NCP	sigma	7	0.2	-0.2742850685014279	-0.2742850685014279	0.0
NCP	sigma	7	0.3	-0.28182617702778934	-0.28182617702778934	0.0
NCP	sigma	7	0.4	-0.28776970438366495	-0.28776970438366495	0.0
NCP	sigma	7	0.5	-0.2920323197179777	-0.2920323197179777	0.0
NCP	sigma	7	0.6	-0.29456103404816436	-0.29456103404816436	0.0
NCP	sigma	7	0.7	-0.29533266037278777	-0.29533266037278777	0.0
NCP	sigma	7	0.8	-0.294351138188638	-0.294351138188638	0.0
NCP	sigma	7	0.9	-0.29164251162387134	-0.29164251162387134	0.0
NCP	sigma	7	1.0	-0.2872472637272316	-0.2872472637272316	0.0
NCP	sigma	8	0.0	-0.27715580597743683	-0.27715580597743683	0.0
NCP	sigma	8	0.1	-0.29359428326937265	-0.29359428326937265	0.0
NCP	sigma	8	0.2	-0.3080916929256879	-0.3080916929256879	0.0
NCP	sigma	8	0.3	-0.32027539089597046	-0.32027539089597046	0.0
NCP	sigma	8	0.4	-0.32983322446687335	-0.32983322446687335	0.0
NCP	sigma	8	0.5	-0.3365282696382297	-0.3365282696382297	0.0
NCP	sigma	8	0.6	-0.34020543225904043	-0.34020543225904043	0.0
NCP	sigma	8	0.7	-0.34078784656902805	-0.34078784656902805	0.0
NCP	sigma	8	0.8	-0.33826140750538464	-0.33826140750538464	0.0
NCP	sigma	8	0.9	-0.3326456491706229	-0.3326456491706229	0.0
NCP	sigma	8	1.0	-0.323948510619481	-0.323948510619481	0.0
NCP	sigma	9	0.0	-0.48299187153818596	-0.48299187153818596	0.0
NCP	sigma	9	0.1	-0.5062624626873639	-0.5062624626873639	0.0
NCP	sigma	9	0.2	-0.5252768879575054	-0.5252768879575054	0.0
NCP	sigma	9	0.3	-0.5395257958828349	-0.5395257958828349	0.0
NCP	sigma	9	0.4	-0.5484262663752079	-0.5484262663752079	0.0
NCP	sigma	9	0.5	-0.55115077598269	-0.55115077598269	0.0
NCP	sigma	9	0.6	-0.5461460700214997	-0.5461460700214997	0.0
NCP	sigma	9	0.7	-0.5299804813616442	-0.5299804813616442	0.0
NCP	sigma	9	0.8	-0.4953465939490866	-0.4953465939490866	0.0
NCP	sigma	9	0.9	-0.43103095332838676	-0.43103095332838676	0.0
NCP	sigma	9	1.0	-0.33372388086678967	-0.33372388086678967	0.0
NCP	sigma	10	0.0	-0.4477616536115741	-0.4477616536115741	0.0
NCP	sigma	10	0.1	-0.48114098053622095	-0.48114098053622095	0.0
NCP	sigma	10	0.2	-0.5068235555746287	-0.5068235555746287	0.0
NCP	sigma	10	0.3	-0.5229601268481547	-0.5229601268481547	0.0
NCP	sigma	10	0.4	-0.5262539943720375	-0.5262539943720375	0.0
NCP	sigma	10	0.5	-0.5089553185350788	-0.5089553185350788	0.0
NCP	sigma	10	0.6	-0.45418112826009105	-0.45418112826009105	0.0
