coordinate	candidate	loss
6	0.51	-0.5654280682239906
6	0.52	-0.5662389329510386
6	0.53	-0.5670336312384046
6	0.54	-0.5678119896001199
6	0.55	-0.5685738365858274
6	0.56	-0.5693190028712691
6	0.57	-0.5700473213487737
6	0.58	-0.570758627217561
6	0.59	-0.571452758073751
6	0.6	-0.5721295540000981
6	0.61	-0.5727888576552418
6	0.62	-0.573430514362487
6	0.63	-0.5740543721979544
6	0.64	-0.5746602820780361
6	0.65	-0.5752480978460797
6	0.66	-0.5758176763581789
6	0.67	-0.5763688775680132
6	0.68	-0.5769015646106008
6	0.69	-0.5774156038849334
6	0.7	-0.5779108651353309
6	0.71	-0.578387221531488
6	0.72	-0.5788445497470781
6	0.73	-0.5792827300368459
6	0.74	-0.5797016463120996
6	0.75	-0.5801011862144935
6	0.76	-0.5804812411880377
6	0.77	-0.5808417065492512
6	0.78	-0.5811824815553299
6	0.79	-0.5815034694703166
6	0.8	-0.5818045776291186
6	0.81	-0.5820857174993607
6	0.82	-0.5823468047409349
6	0.83	-0.5825877592632231
6	0.84	-0.5828085052798819
6	0.85	-0.5830089713611497
6	0.86	-0.5831890904835829
6	0.87	-0.583348800077174
6	0.88	-0.5834880420697792
6	0.89	-0.5836067629288112
6	0.9	-0.5837049137001215
6	0.91	-0.5837824500440348
6	0.92	-0.5838393322684876
6	0.93	-0.5838755253592159
6	0.94	-0.5838909990069568
6	0.95	-0.5838857276316298
6	0.96	-0.583859690403455
6	0.97	-0.583812871260987
6	0.98	-0.5837452589260338
6	0.99	-0.5836568469154367
6	1.0	-0.5835476335497012
7	0.0	-0.41556426255778445
7	0.01	-0.41764416411725647
7	0.02	-0.4197289423221204
7	0.03	-0.4218183755264244
7	0.04	-0.42391223309491294
7	0.05	-0.426010275190278
7	0.06	-0.4281122525601657
7	0.07	-0.4302179063237854
7	0.08	-0.43232696775900914
7	0.09	-0.4344391580899883
7	0.1	-0.43655418827579556
7	0.11	-0.4386717588004924
7	0.12	-0.440791559465109
7	0.13	-0.44291326918199203
7	0.14	-0.44503655577195955
7	0.15	-0.44716107576487885
7	0.16	-0.4492864742042442
7	0.17	-0.4514123844561027
7	0.18	-0.45353842802343913
7	0.19	-0.4556642143661145
7	0.2	-0.4577893407272509
7	0.21	-0.4599133919670081
7	0.22	-0.46203594040407153
7	0.23	-0.4641565456659029
7	0.24	-0.46627475454849376
7	0.25	-0.4683901008861469
7	0.26	-0.47050210543285825
7	0.27	-0.47261027575521475
7	0.28	-0.47471410613849935
7	0.29	-0.4768130775065397
7	0.3	-0.4789066573564051
7	0.31	-0.48099429970873037
7	0.32	-0.4830754450749114
7	0.33	-0.48514952044199294
7	0.34	-0.4872159392763536
7	0.35	-0.4892741015472232
7	0.36	-0.4913233937710214
7	0.37	-0.4933631890776289
7	0.38	-0.4953928472996724
7	0.39	-0.49741171508570015
7	0.4	-0.49941912603862304
7	0.41	-0.5014144008800324
7	0.42	-0.503396847641849
7	0.43	-0.5053657618859363
7	0.44	-0.5073204269530183
7	0.45	-0.509260114241413
7	0.46	-0.5111840835169064
7	0.47	-0.5130915832544306
7	0.48	-0.5149818510123689
7	0.49	-0.5168541138402366
7	0.5	-0.518707588720534
7	0.51	-0.520541483045353
7	0.52	-0.5223549951281996
7	0.53	-0.5241473147516135
7	0.54	-0.5259176237509566
7	0.55	-0.5276650966345182
7	0.56	-0.5293889012403042
7	0.57	-0.5310881994293759
7	0.58	-0.5327621478157796
7	0.59	-0.53440989853286
7	0.6	-0.5360306000356032
7	0.61	-0.5376233979385615
7	0.62	-0.5391874358887422
7	0.63	-0.5407218564726677
7	0.64	-0.5422258021567575
7	0.65	-0.5436984162598232
7	0.66	-0.5451388439565705
7	0.67	-0.5465462333105834
7	0.68	-0.5479197363352605
7	0.69	-0.5492585100809225
7	0.7	-0.5505617177461892
7	0.71	-0.5518285298115116
7	0.72	-0.5530581251926093
7	0.73	-0.5542496924113758
7	0.74	-0.5554024307816805
7	0.75	-0.5565155516073239
7	0.76	-0.557588279389239
7	0.77	-0.5586198530389485
7	0.78	-0.5596095270950887
7	0.79	-0.5605565729397379
7	0.8	-0.5614602800111649
7	0.81	-0.5623199570095045
7	0.82	-0.5631349330918123
7	0.83	-0.5639045590528664
7	0.84	-0.5646282084880213
7	0.85	-0.5653052789344304
7	0.86	-0.5659351929868712
7	0.87	-0.5665173993844821
7	0.88	-0.5670513740646778
7	0.89	-0.5675366211805986
7	0.9	-0.5679726740784751
7	0.91	-0.5683590962313972
7	0.92	-0.5686954821260607
7	0.93	-0.5689814580991824
7	0.94	-0.5692166831204388
7	0.95	-0.5694008495189073
7	0.96	-0.5695336836501977
7	0.97	-0.5696149465016364
7	0.98	-0.5696444342330862
7	0.99	-0.5696219786512096
7	1.0	-0.5695474476152227
8	0.0	-0.25658347378058466
8	0.01	-0.2590423538190623
8	0.02	-0.2615322112722404
8	0.03	-0.264053523717586
8	0.04	-0.266606772641892
8	0.05	-0.26919244307852275
8	0.06	-0.27181102320423645
8	0.07	-0.27446300389233164
8	0.08	-0.2771488782189612
8	0.09	-0.2798691409187686
8	0.1	-0.2826242877863635
8	0.11	-0.28541481501933763
8	0.12	-0.288241218498809
8	0.13	-0.29110399300261647
8	0.14	-0.2940036313467115
8	0.15	-0.2969406234492383
8	0.16	-0.2999154553122617
8	0.17	-0.3029286079152071
8	0.18	-0.30598055601395885
8	0.19	-0.30907176683945997
8	0.2	-0.3122026986889321
8	0.21	-0.3153737994027712
8	0.22	-0.3185855047197736
8	0.23	-0.3218382365030965
8	0.24	-0.32513240082861955
8	0.25	-0.3284683859278293
8	0.26	-0.3318465599761271
8	0.27	-0.3352672687180176
8	0.28	-0.3387308329195515
8	0.29	-0.34223754563897113
8	0.3	-0.3457876693056624
8	0.31	-0.3493814325976478
8	0.32	-0.3530190271078002
8	0.33	-0.35670060378881824
8	0.34	-0.36042626916715104
8	0.35	-0.36419608131607606
8	0.36	-0.3680100455786521
8	0.37	-0.37186811003150205
8	0.38	-0.3757701606808614
8	0.39	-0.37971601638351166
8	0.4	-0.3837054234853743
8	0.41	-0.387738050172672
8	0.42	-0.39181348053105175
8	0.43	-0.3959312083106132
8	0.44	-0.4000906303959951
8	0.45	-0.40429103998378313
8	0.46	-0.40853161947172445
8	0.47	-0.4128114330677271
8	0.48	-0.41712941912995427
8	0.49	-0.4214843822538655
8	0.5	-0.42587498512608224
8	0.51	-0.4302997401707568
8	0.52	-0.4347570010194241
8	0.53	-0.4392449538418185
8	0.54	-0.4437616085820891
8	0.55	-0.4483047901523689
8	0.56	-0.4528721296437498
8	0.57	-0.45746105562350514
8	0.58	-0.46206878559652564
8	0.59	-0.4666923177187654
8	0.6	-0.47132842286042115
8	0.61	-0.4759736371270107
8	0.62	-0.48062425495688754
8	0.63	-0.48527632292419864
8	0.64	-0.4899256343863336
8	0.65	-0.49456772512457314
8	0.66	-0.4991978701354126
8	0.67	-0.5038110817377192
8	0.68	-0.5084021091670881
8	0.69	-0.5129654398329845
8	0.7	-0.5174953024163812
8	0.71	-0.5219856719847557
8	0.72	-0.5264302772974746
8	0.73	-0.530822610466992
8	0.74	-0.5351559391297251
8	0.75	-0.5394233212644131
8	0.76	-0.5436176227750052
8	0.77	-0.5477315379292863
8	0.78	-0.5517576127135431
8	0.79	-0.555688271127487
8	0.8	-0.5595158444025883
8	0.81	-0.5632326030812338
8	0.82	-0.5668307918442664
8	0.83	-0.5703026669211902
8	0.84	-0.5736405358615471
8	0.85	-0.5768367993889719
8	0.86	-0.5798839950023307
8	0.87	-0.5827748419328922
8	0.88	-0.5855022870141448
8	0.89	-0.5880595509734435
8	0.9	-0.5904401746138839
8	0.91	-0.5926380643223541
8	0.92	-0.5946475363171669
8	0.93	-0.596463359037402
8	0.94	-0.5980807930772162
8	0.95	-0.5994956280826205
8	0.96	-0.6007042160560001
8	0.97	-0.6017035005547646
8	0.98	-0.6024910413246071
8	0.99	-0.6030650339736126
8	1.0	-0.6034243243697482
9	0.0	-0.16590641768468417
9	0.01	-0.1673305768284841
9	0.02	-0.1687806360106214
9	0.03	-0.17025727685548733
9	0.04	-0.17176120372603898
9	0.05	-0.17329314460733647
9	0.06	-0.1748538520265906
9	0.07	-0.17644410401103985
9	0.08	-0.17806470508509512
9	0.09	-0.17971648730795087
9	0.1	-0.18140031135311518
9	0.11	-0.18311706763116903
9	0.12	-0.18486767745695035
9	0.13	-0.1866530942624275
9	0.14	-0.18847430485649594
9	0.15	-0.190332330732678
9	0.16	-0.19222822942557669
9	0.17	-0.1941630959171141
9	0.18	-0.19613806409288748
9	0.19	-0.19815430824918126
9	0.2	-0.20021304465058884
9	0.21	-0.2023155331381715
9	0.22	-0.20446307878718115
9	0.23	-0.20665703361351004
9	0.24	-0.20889879832697988
9	0.25	-0.2111898241289932
9	0.26	-0.21353161455153732
9	0.27	-0.21592572733317444
9	0.28	-0.21837377632697427
9	0.29	-0.22087743343363972
9	0.3	-0.22343843055202
9	0.31	-0.22605856153701798
9	0.32	-0.22873968415327464
9	0.33	-0.23148372201035886
9	0.34	-0.23429266646266614
9	0.35	-0.2371685784539465
9	0.36	-0.24011359028286494
9	0.37	-0.24312990726168604
9	0.38	-0.24621980923541814
9	0.39	-0.24938565192314746
9	0.4	-0.25262986803680343
9	0.41	-0.25595496812543383
9	0.42	-0.2593635410843481
9	0.43	-0.26285825425900045
9	0.44	-0.2664418530623143
9	0.45	-0.2701171600114645
9	0.46	-0.27388707307572074
9	0.47	-0.2777545632103885
9	0.48	-0.2817226709333381
9	0.49	-0.2857945017791322
9	0.5	-0.2899732204419802
9	0.51	-0.29426204339146556
9	0.52	-0.29866422971460754
9	0.53	-0.3031830699036886
9	0.54	-0.3078218722711564
9	0.55	-0.31258394663077005
9	0.56	-0.3174725848375466
9	0.57	-0.322491037728188
9	0.58	-0.3276424879483527
9	0.59	-0.33293001809397715
9	0.6	-0.3383565735310847
9	0.61	-0.3439249191934181
9	0.62	-0.3496375895911356
9	0.63	-0.35549683119883607
9	0.64	-0.3615045363304743
9	0.65	-0.3676621675562614
9	0.66	-0.3739706716778739
