qoi	mean	sd	bulk_ess	tail_ess	split_rhat
mu(time=18.6)	-1.9576131960299579	0.1308650691778531	1877.2848152746758	6357.579557576532	1.0002720196718864
mu(time=19.2)	-2.179822454412694	0.14454872925590817	932.9622175535361	5819.797248945082	1.0007744353303865
mu(time=19.4)	-2.244144752517849	0.1481399016183533	796.9339904103167	5736.646303986967	1.0009789663720325
mu(time=19.6)	-2.3027879942194383	0.15120121943470588	705.7813284899603	5675.299577494109	1.0011695653166164
mu(time=20.2)	-2.4406467968529375	0.15722272444858118	538.4025032974438	5247.352545763892	1.0023887992294598
mu(time=20.4)	-2.472820450122947	0.15824445417790903	502.59546264452524	5479.926950261102	1.0027692376332835
mu(time=21.2)	-2.5271176181269692	0.15849719499863033	391.3256029598203	5651.247038262816	1.0032771707804413
mu(time=21.4)	-2.521689640386795	0.15785460158653136	382.3187306045306	5537.311896071145	1.0033047867024634
mu(time=21.8)	-2.488243179563453	0.15605200565837388	361.0413095519457	5068.7656207773825	1.0033771286455682
mu(time=22.0)	-2.460496398686084	0.15496136924863685	357.0131255662778	5143.043668387131	1.0034630280833872
mu(time=23.2)	-2.1553012154550903	0.14651808185566811	401.27802969066545	5151.926180830713	1.003488210185434
mu(time=23.4)	-2.084477068376611	0.14474173344744326	423.4238250313189	5445.792797431065	1.003378180342852
mu(time=24.0)	-1.8459346803504002	0.13862876512668926	507.9229924206037	5801.023385291535	1.0029988671159062
mu(time=24.2)	-1.7592166605044557	0.13636394559217568	552.2539990315869	5535.766089798286	1.0028108994449143
mu(time=24.6)	-1.5776792296807836	0.13168912105895936	668.3798955710516	6247.441813436746	1.0024184495281052
mu(time=25.0)	-1.3882923449843063	0.1272261771922493	839.1067437351368	5895.689591454374	1.0021156022510143
mu(time=25.4)	-1.1944560762729826	0.12362421861150331	1170.6357498901496	5652.689911624301	1.0016479757996142
mu(time=25.6)	-1.0968703183952981	0.12237396029118004	1447.9388546791758	5440.395264422269	1.0014499299168993
mu(time=26.0)	-0.9022144466675074	0.12138979277112635	2618.281105882595	5600.0688398468665	1.0009147835419636
mu(time=26.2)	-0.8058277074399313	0.12177580140793323	3850.425304388937	5740.513815522275	1.000667704919504
mu(time=26.4)	-0.7104911139822851	0.12278876041707078	5965.7258805156725	5492.959162551488	1.0004187969274438
mu(time=27.0)	-0.433607058434371	0.12945184619335692	8529.711466335386	4976.012264920728	1.002422015294125
mu(time=27.2)	-0.3452005117394136	0.13272594988503092	8706.87263065412	5289.461946299839	1.0034491323952566
mu(time=27.6)	-0.17555494474216202	0.14043492772038138	8450.278412504258	6106.709213632015	1.0071055897894186
mu(time=28.2)	0.05819633798255765	0.15377166282548646	8067.643409045947	6221.014228510721	1.0111465137736544
mu(time=28.4)	0.1299405472395961	0.15842391304695755	7970.572265392803	6352.842308678675	1.008998795671784
mu(time=28.6)	0.1983645694231792	0.1630897839465641	7856.795927295981	6136.788576947103	1.006619195866526
mu(time=29.4)	0.4365449591257406	0.18110688415879655	6665.57174968153	5657.788916784394	1.002814202020731
mu(time=30.2)	0.6135637613021375	0.1966119956261923	5274.645420288615	6011.226052285104	1.001711945811171
mu(time=31.0)	0.7258769838924045	0.20778600637609482	4737.494889603004	6055.851364890487	1.001395141678717
mu(time=31.2)	0.7437342808283861	0.2096997778474968	4830.689950840501	6232.304198969575	1.0017122000194119
mu(time=32.0)	0.7753529507987701	0.21335186205194345	6096.234515197503	6183.126266178294	1.0027467275771313
mu(time=32.8)	0.7478711064716548	0.21104011617179808	6684.38957170955	6180.6260369013735	1.004955425980242
mu(time=33.4)	0.6944364978171683	0.20690019876215932	7061.284019006033	6002.965909074827	1.0096043208836725
mu(time=33.8)	0.6464231560674359	0.20397994552577997	7268.555019949795	6132.258909034997	1.0104955056370042
mu(time=34.4)	0.5610520061159077	0.2007283904986941	7289.037594954837	5671.098577068851	1.0064541987248805
mu(time=34.8)	0.49857524594618097	0.19985689671712514	6976.44583161401	5458.293682835871	1.002912067882004
mu(time=35.2)	0.43439442344585366	0.20012655558273224	6250.735027456926	5119.339437216836	1.001767440574959
mu(time=35.4)	0.4023895949017742	0.2006284763839644	5772.510828688	5326.719107483441	1.0020866468463911
mu(time=35.6)	0.37081304581796165	0.2013113863596424	5272.179024512562	5350.827691721376	1.0023857440616193
mu(time=36.2)	0.28121087922794025	0.20379017574160416	1949.309291570527	5203.397373337916	1.0030848369435335
mu(time=38.0)	0.10140630239813472	0.20015452943076006	1290.423990797083	3587.6591367332226	1.0027174272831927
mu(time=39.2)	0.07156673717984534	0.18119588763301708	3232.1375530195596	3937.721135235141	1.001303022355846
mu(time=39.4)	0.07233850360243112	0.17704550049916912	3899.562322765871	4030.573678353229	1.001065863407411
mu(time=40.0)	0.0811748418617245	0.1638137573128653	5944.714802444046	4906.119339525818	1.002044412427988
mu(time=40.4)	0.09051963199700239	0.15487872048043566	6977.694296538638	6033.031552413643	1.0040815120604873
mu(time=41.6)	0.11778370225853478	0.13214642886140418	8344.50099474101	7473.256843589346	1.008242005476954
mu(time=42.4)	0.12224524978769466	0.12356655132705795	8299.141019425135	7281.864192088891	1.0054482411967216
mu(time=42.8)	0.11778633053533967	0.12163420786042979	8391.224189291655	7250.65588200963	1.0043212449935746
mu(time=43.0)	0.1137320373360958	0.12121617834596027	8467.42003475865	6661.585357535241	1.0042141939880451
