panel	column	draw	log_group_sd	coordinate
1: region 1 intercept, rho=0.80	1. CP	37	-0.7909541870186039	0.5307114888595911
1: region 1 intercept, rho=0.80	2. NCP	37	-0.7909541870186039	1.1704841260071277
1: region 1 intercept, rho=0.80	3. ACP (brms auto)	37	-0.7909541870186039	0.6154572702535301
1: region 1 intercept, rho=0.80	1. CP	38	-0.5824782106852828	0.47358847973889523
1: region 1 intercept, rho=0.80	2. NCP	38	-0.5824782106852828	0.8479460123499688
1: region 1 intercept, rho=0.80	3. ACP (brms auto)	38	-0.5824782106852828	0.5244014154893679
1: region 1 intercept, rho=0.80	1. CP	39	-0.48501088406473203	0.31605696835590286
1: region 1 intercept, rho=0.80	2. NCP	39	-0.48501088406473203	0.5133374165419943
1: region 1 intercept, rho=0.80	3. ACP (brms auto)	39	-0.48501088406473203	0.33280633196711373
1: region 1 intercept, rho=0.80	1. CP	40	-0.39225236096148963	0.03118730941007947
1: region 1 intercept, rho=0.80	2. NCP	40	-0.39225236096148963	0.04616692457265125
1: region 1 intercept, rho=0.80	3. ACP (brms auto)	40	-0.39225236096148963	0.021234365277257444
1: region 1 intercept, rho=0.80	1. CP	41	-0.31995323527287906	-0.12440625781408772
1: region 1 intercept, rho=0.80	2. NCP	41	-0.31995323527287906	-0.1713152999923305
1: region 1 intercept, rho=0.80	3. ACP (brms auto)	41	-0.31995323527287906	-0.14118728317724177
1: region 1 intercept, rho=0.80	1. CP	42	-0.09340292214409013	-0.3450851322162641
1: region 1 intercept, rho=0.80	2. NCP	42	-0.09340292214409013	-0.3788703525220859
1: region 1 intercept, rho=0.80	3. ACP (brms auto)	42	-0.09340292214409013	-0.35250323235049646
1: region 1 intercept, rho=0.80	1. CP	43	-0.15408342973674974	0.38454628762857407
1: region 1 intercept, rho=0.80	2. NCP	43	-0.15408342973674974	0.44860716567972253
1: region 1 intercept, rho=0.80	3. ACP (brms auto)	43	-0.15408342973674974	0.3919226930213241
1: region 1 intercept, rho=0.80	1. CP	44	-0.10215071219240333	0.3399150978572943
1: region 1 intercept, rho=0.80	2. NCP	44	-0.10215071219240333	0.3764730959682038
1: region 1 intercept, rho=0.80	3. ACP (brms auto)	44	-0.10215071219240333	0.3451529270769245
1: region 1 intercept, rho=0.80	1. CP	45	-0.13846575420624338	0.7091100979455458
1: region 1 intercept, rho=0.80	2. NCP	45	-0.13846575420624338	0.8144202862468297
1: region 1 intercept, rho=0.80	3. ACP (brms auto)	45	-0.13846575420624338	0.7237804418096678
1: region 1 intercept, rho=0.80	1. CP	46	0.30663441106648953	0.45873817143113993
1: region 1 intercept, rho=0.80	2. NCP	46	0.30663441106648953	0.33759440969472543
1: region 1 intercept, rho=0.80	3. ACP (brms auto)	46	0.30663441106648953	0.4422491330921121
1: region 1 intercept, rho=0.80	1. CP	47	-0.1751239678206466	0.7896974709811848
1: region 1 intercept, rho=0.80	2. NCP	47	-0.1751239678206466	0.9408407513230697
1: region 1 intercept, rho=0.80	3. ACP (brms auto)	47	-0.1751239678206466	0.8127590552655515
1: region 1 intercept, rho=0.80	1. CP	48	-0.10668413402101873	0.5283058413864788
1: region 1 intercept, rho=0.80	2. NCP	48	-0.10668413402101873	0.5877839774339938
1: region 1 intercept, rho=0.80	3. ACP (brms auto)	48	-0.10668413402101873	0.5377970998340558
1: region 1 intercept, rho=0.80	1. CP	49	-0.22434916367964772	-0.6931839265437555
1: region 1 intercept, rho=0.80	2. NCP	49	-0.22434916367964772	-0.8675251770393223
1: region 1 intercept, rho=0.80	3. ACP (brms auto)	49	-0.22434916367964772	-0.7287012792606397
1: region 1 intercept, rho=0.80	1. CP	50	-0.31430896307957557	-0.04798857232013297
1: region 1 intercept, rho=0.80	2. NCP	50	-0.31430896307957557	-0.06571136336976059
1: region 1 intercept, rho=0.80	3. ACP (brms auto)	50	-0.31430896307957557	-0.06395354294140271
