model	sampler	parameter	mean	sd	bulk_ess	mcse	split_rhat	tail_ess
brms NCP	WHMC	total_intercept[713]	9356.553825404582	75.07836883862774	2022.3733908219094	1.6684957290082365	1.0002899239383427	1590.3600197065505
brms NCP	WHMC	total_intercept[714]	5618.414462184912	82.44256454407873	2087.8499952277416	1.8098394157566398	1.0000483250505876	1471.3179906620376
brms NCP	WHMC	total_intercept[715]	6382.6827870903535	90.97078886229787	2484.0023948948274	1.8234094887124932	1.0006504357517596	1628.6961737993427
brms NCP	WHMC	total_intercept[716]	6236.166584081704	122.15185681154455	2195.5928781445114	2.6111244602361663	0.9995376845807382	1470.5007798080342
brms NCP	WHMC	total_intercept[717]	6955.482547641332	101.88931251884593	2140.6300344857327	2.198445715257158	1.0009270033001147	1846.722431976198
brms NCP	WHMC	total_intercept[718]	6779.9883230186615	115.83779541015417	1752.9382218884261	2.764499277003685	1.0002323510097182	1529.685100955934
brms NCP	WHMC	total_intercept[719]	10158.354601890285	113.6507287555712	1956.381219867414	2.565469529822477	0.9996637726698592	1420.9386058711505
brms NCP	WHMC	total_intercept[720]	8778.375854031183	119.3894218421853	2522.322675524044	2.396609103202354	0.999647572313451	1797.531918617958
brms NCP	WHMC	total_load[701]	35.47627158161528	17.977666361506994	3156.7651227538104	0.32006977501933315	0.9997399830732668	1409.8003530309838
brms NCP	WHMC	total_load[702]	22.41945266527964	11.686235301268306	3179.164228714625	0.2070513263911536	0.9998713309633483	1472.9604983575673
brms NCP	WHMC	total_load[703]	20.874903742891277	12.210744085060215	2696.998444961252	0.23485049063680852	1.0003300345169375	1350.4000295962508
brms NCP	WHMC	total_load[704]	69.70734139489836	13.547031070583529	3227.2570183703856	0.23793176992494075	1.0027512872859798	1388.819683316013
brms NCP	WHMC	total_load[705]	37.75490917321801	15.663882722853836	2605.2816491855633	0.3084475941957046	1.0001647685433226	1609.156033418808
brms NCP	WHMC	total_load[706]	52.55514804665702	14.657575861427722	2799.051919417603	0.27790526746549143	1.000715653421044	1337.616194469272
brms NCP	WHMC	total_load[707]	57.79146684326412	16.55367365118818	2493.557301636299	0.33127956057065927	0.9997231039728942	1364.0611895407776
brms NCP	WHMC	total_load[708]	34.06508870052508	17.07001494108186	2459.4296884524483	0.3432953262557168	0.9996067074459584	1580.5684238145623
brms NCP	WHMC	total_load[709]	14.870958929950422	18.710703817263337	2471.2683797980435	0.3761650289153768	0.9996299154131048	1507.3488516530192
brms NCP	WHMC	total_load[710]	-15.446349157095993	20.739777116955867	2895.2617289626846	0.38425072213802125	0.9995570592834557	1687.8472331523406
brms NCP	WHMC	total_load[711]	72.42372330387911	22.55087907009577	2386.19919015822	0.4619217148620885	1.009113386392819	1287.7695945662472
brms NCP	WHMC	total_load[712]	174.4449426710939	24.415330198062573	2729.6621401545895	0.4663103032921422	1.001522065982057	1599.555857260029
brms NCP	WHMC	total_load[713]	46.430432683548474	24.711112639708546	2292.600265326256	0.519143763551451	1.0046410395498273	1390.2412602924815
brms NCP	WHMC	total_load[714]	55.78871474578569	26.153608723273777	2280.061015874836	0.5482240137939159	0.9995131669798553	1494.32266032734
brms NCP	WHMC	total_load[715]	16.90064048707781	28.34520361443429	2477.5087941782886	0.5695784195071185	1.0018354995337964	1520.900725879902
brms NCP	WHMC	total_load[716]	24.693336291595326	37.54344876347463	2482.932813765674	0.7535547010864694	0.9997472900825675	1468.7960380586208
brms NCP	WHMC	total_load[717]	150.9737649597818	32.60079658594047	1832.9736717083347	0.7591590162293868	1.002031828867445	1769.5761688632117
brms NCP	WHMC	total_load[718]	170.22711525630567	36.47786312556933	1540.580216639195	0.9310754712684337	0.9995731866224756	1317.0413863907486
brms NCP	WHMC	total_load[719]	27.425536949319007	36.394593370156166	1929.1083169958338	0.8279146964589776	1.0002464652670862	845.4582762246545
brms NCP	WHMC	total_load[720]	100.72808241025007	36.97532511907968	2338.323961902373	0.7648595147758829	1.000344156154077	1690.1521480544527
brms CP	WHMC	log_tau_intercept	7.815146010113543	0.16297356165102972	889.4117547246819	0.005411946053777453	1.0028597113581041	1040.445135233054
brms CP	WHMC	log_tau_load	4.098708193455133	0.22582271460846576	1354.492433190799	0.006129545812507796	1.0006720486789915	1316.1883512723628
brms CP	WHMC	log_sigma_intercept	6.05157494568362	0.015231200058686592	5512.542500611573	0.00020585449678825707	0.999559129785846	1357.9376053971164
brms CP	WHMC	log_sigma_subj_slope	0.07817236145943554	0.0027066012558115537	4283.317998740229	4.142814322554796e-5	0.999569954766954	1181.3591335371157
brms CP	WHMC	total_intercept[701]	614.1528909616687	53.487165073664244	2501.726577981414	1.0694309450982968	1.0001167065492067	1953.2249764275514
brms CP	WHMC	total_intercept[702]	1554.2468147581867	33.91029248768648	2044.6509727353125	0.7464599725055042	0.9999537022516554	1809.4454974077437
brms CP	WHMC	total_intercept[703]	1834.7064835181623	36.24942444119461	1959.8898198533811	0.821844197909283	0.999915545690112	1604.9883007811106
brms CP	WHMC	total_intercept[704]	4814.53425113914	41.13633809718665	2324.7046810867155	0.8532042429936704	1.0011376643482743	1522.8359985356872
brms CP	WHMC	total_intercept[705]	4119.567098815824	46.35264911926886	2452.0115034306623	0.937817671501516	1.000270655140867	1456.804099374738
brms CP	WHMC	total_intercept[706]	5510.457950868706	45.35919649607153	2621.6917227679273	0.8877199057823101	0.9995476812588281	1749.7609897059044
brms CP	WHMC	total_intercept[707]	5383.253391150799	50.2825940704501	2227.242662382454	1.0646354576584123	0.9999225469427548	1430.2952825201437
brms CP	WHMC	total_intercept[708]	5018.144752533584	54.148275157399134	2287.4494883397965	1.1312094229691803	0.9995119115479464	1655.2540939921632
brms CP	WHMC	total_intercept[709]	4324.888952037625	58.75942991093949	2368.351967192505	1.208901967986695	1.0024240058779226	1658.5969987825738
