model	sampler	parameter	difference	combined_mcse	difference_in_combined_mcse
brms S2Z CP	WHMC	log_sigma_intercept	0.0004346026100039424	0.0003978453157701031	1.0923909187234961
brms S2Z CP	WHMC	log_sigma_subj_slope	3.6596987977186024e-5	6.967373499735938e-5	0.5252623241537581
brms S2Z CP	WHMC	total_intercept[701]	-0.4615866525788306	1.6464122665159748	-0.2803590947215236
brms S2Z CP	WHMC	total_intercept[702]	0.8620436602109294	1.0068581461315842	0.856171908151072
brms S2Z CP	WHMC	total_intercept[703]	1.387967887077366	1.0444377911527851	1.3289138892086754
brms S2Z CP	WHMC	total_intercept[704]	0.036665098748017044	1.156263520985025	0.03170998486295055
brms S2Z CP	WHMC	total_intercept[705]	2.3016458126558064	1.292455715552548	1.78083147063326
brms S2Z CP	WHMC	total_intercept[706]	0.40253181123625836	1.2340937622464687	0.32617603584958904
brms S2Z CP	WHMC	total_intercept[707]	0.96982695452607	1.3693926421562965	0.7082168580948007
brms S2Z CP	WHMC	total_intercept[708]	-0.36218804062718846	1.4162438564548168	-0.25573847256349497
brms S2Z CP	WHMC	total_intercept[709]	-0.9788919035272556	1.5017317869127969	-0.6518420346815887
brms S2Z CP	WHMC	total_intercept[710]	-0.22231928977998905	1.665910264701852	-0.13345213994451108
brms S2Z CP	WHMC	total_intercept[711]	0.9153557267904944	1.7380626580031053	0.5266528928491938
brms S2Z CP	WHMC	total_intercept[712]	-1.1116763981490294	1.9370789364571968	-0.5738931838173926
brms S2Z CP	WHMC	total_intercept[713]	-2.489777841585237	2.144602706519383	-1.1609506199057549
brms S2Z CP	WHMC	total_intercept[714]	1.262708878884041	2.1822985113327302	0.5786141869807282
brms S2Z CP	WHMC	total_intercept[715]	0.07516679224863765	2.3525832808841596	0.031950746593926355
brms S2Z CP	WHMC	total_intercept[716]	-6.418453151747599	3.410643408825061	-1.881889245630256
brms S2Z CP	WHMC	total_intercept[717]	-0.14790241423452244	2.8010864083026843	-0.0528018035416993
brms S2Z CP	WHMC	total_intercept[718]	-1.9544885939021697	3.158267346000202	-0.6188483683553383
brms S2Z CP	WHMC	total_intercept[719]	0.08763229991018306	2.92497925395544	0.02995997314910121
brms S2Z CP	WHMC	total_intercept[720]	3.2153414728290954	3.196130197698505	1.0060107924090278
