qoi	mean	sd	bulk_ess	tail_ess	split_rhat
mu(time=13.8)	-0.20534261227553396	0.05622041329632056	8745.476245649515	8743.002634786713	0.9999890083343566
mu(time=14.6)	-0.36886963274056733	0.06095761949758062	8819.739006645485	8642.81063965416	0.999925870448844
mu(time=14.8)	-0.42091732807129767	0.06167432542390542	8937.329750685733	8637.3454640681	0.9999654831739833
mu(time=15.4)	-0.603832631578166	0.06371199715961545	9602.75338869699	7944.9198260359735	0.9999151359773929
mu(time=15.6)	-0.6733536550841496	0.06469812066993061	9812.501442416014	8591.266657660033	0.9999314912761009
mu(time=15.8)	-0.7468327296821653	0.06603185118313869	10031.002051836533	9266.6886610147	0.9999531449058559
mu(time=16.0)	-0.8240025205348153	0.06782225210233857	10231.057402950617	9411.320216894028	0.9999741715906437
mu(time=16.2)	-0.9045455174895768	0.07015654346145334	10378.951929469273	9262.67943991589	0.999996694075773
mu(time=16.4)	-0.9880960050801626	0.07308963927619824	10457.405680767759	9485.54397603442	1.0000152144218222
mu(time=16.6)	-1.0742427307661198	0.07663814159870201	10467.11059855148	9238.484421825591	1.0000354146659847
mu(time=16.8)	-1.1625322411569539	0.08077996467673679	10402.712513538978	9329.664562882486	1.0000449396476128
mu(time=17.6)	-1.526809529827674	0.10181391260704895	9780.586891588173	9092.516342513209	1.0000266072454034
mu(time=17.8)	-1.617841902660707	0.10767917149579659	9628.850272720287	8517.883826694322	1.0000134649461758
mu(time=18.6)	-1.963823789042815	0.13036055989222875	9161.300413015215	8281.497351203378	0.9999572686745422
mu(time=19.2)	-2.187590585707615	0.14421192366860064	8990.996441031011	8405.746155310448	0.999935304804845
mu(time=19.4)	-2.252416689526326	0.14793003212161765	8982.314876108443	8264.0422745528	0.9999493911675154
mu(time=19.6)	-2.311547735778911	0.15115684115096656	8995.449808202886	8205.455430000635	0.9999322011553338
mu(time=20.2)	-2.4507217185640906	0.15790201448872854	9142.16129132912	8196.658710662738	0.9999155345327108
mu(time=20.4)	-2.4832669631581648	0.15923305132112167	9221.723446139855	8205.032694437972	0.9999022805158739
mu(time=21.2)	-2.5385864123030233	0.16092845868688105	9574.838069091687	8490.054648733309	0.9999269981016592
mu(time=21.4)	-2.5332769764116194	0.16066163461429242	9667.236829144887	8531.748501219632	0.9999391468868335
mu(time=21.8)	-2.499880157515392	0.1595729433584874	9701.13815387392	8730.641083819131	0.9999609431625627
mu(time=22.0)	-2.4720601841618683	0.15880600480017368	9776.593571250827	8386.74983908528	0.9999751700519195
mu(time=23.2)	-2.16502782932424	0.15160720022841834	9672.082272335654	8162.348002517116	1.000033819187805
mu(time=23.4)	-2.093677923901208	0.14992753628368433	9589.32060510718	8162.348002517116	1.0000376654407799
mu(time=24.0)	-1.8532506823651727	0.1439989659058571	9342.101653029551	8163.681638580708	1.0000394387394913
mu(time=24.2)	-1.765819315683338	0.141778794231383	9237.478749302192	8398.332496822699	1.000031050306335
mu(time=24.6)	-1.5827644054316445	0.13719528557307684	9141.948428393123	8675.293877734903	1.0000181853344994
mu(time=25.0)	-1.391784890672344	0.1328410630412952	9185.06965110667	9037.31428597428	1.000000236105126
