model	sampler	qoi	bulk_ess	mcse
brms S2Z CP	Native Stan	total_load[702]	2773.044796253341	0.22012970795265963
brms S2Z CP	Native Stan	total_load[703]	3014.53201493694	0.21594894848360122
brms S2Z CP	Native Stan	total_load[704]	2975.754865520104	0.25799853106862397
brms S2Z CP	Native Stan	total_load[705]	3274.856903636197	0.2770682368393186
brms S2Z CP	Native Stan	total_load[706]	2969.731453500077	0.2771193409217648
brms S2Z CP	Native Stan	total_load[707]	3402.313929433389	0.27104148810714124
brms S2Z CP	Native Stan	total_load[708]	2904.187152613746	0.32209582003215126
brms S2Z CP	Native Stan	total_load[709]	3157.484356727911	0.33791966406170193
brms S2Z CP	Native Stan	total_load[710]	3032.4247377652114	0.36722772166367296
brms S2Z CP	Native Stan	total_load[711]	3018.7756904051375	0.3866210988005625
brms S2Z CP	Native Stan	total_load[712]	3100.5819511599434	0.4355986844584663
brms S2Z CP	Native Stan	total_load[713]	2734.611107028162	0.47892271995209956
brms S2Z CP	Native Stan	total_load[714]	2860.582841293608	0.49850846544963084
brms S2Z CP	Native Stan	total_load[715]	3100.6141800011656	0.5126308836765624
brms S2Z CP	Native Stan	total_load[716]	3017.3331064555955	0.6800180467539203
brms S2Z CP	Native Stan	total_load[717]	2199.426048473249	0.7285429142541405
brms S2Z CP	Native Stan	total_load[718]	2454.606022565897	0.7680706042035931
brms S2Z CP	Native Stan	total_load[719]	2992.6350846012556	0.6477877595715186
brms S2Z CP	Native Stan	total_load[720]	2748.445710515311	0.7294502910767747
brms S2Z CP	WHMC	population_intercept_at_mean_load	1993.7946624096169	12.476820296159445
brms S2Z CP	WHMC	population_load	2183.6016000471072	0.3262097150535707
brms S2Z CP	WHMC	log_tau_intercept	2069.6974509754828	0.0035725520744136333
brms S2Z CP	WHMC	log_tau_load	2094.6750577798184	0.004747046525059712
brms S2Z CP	WHMC	log_sigma_intercept	2322.3338904109783	0.0003219349371355453
brms S2Z CP	WHMC	log_sigma_subj_slope	2352.808743829645	5.733971947256973e-5
brms S2Z CP	WHMC	total_intercept[701]	2307.264267143668	1.1342725844686865
brms S2Z CP	WHMC	total_intercept[702]	2656.93345532077	0.6523675166413612
brms S2Z CP	WHMC	total_intercept[703]	2775.485206881984	0.7563116564952331
brms S2Z CP	WHMC	total_intercept[704]	3637.1749828149755	0.7016987581762352
brms S2Z CP	WHMC	total_intercept[705]	2688.426480554762	0.904763211453855
brms S2Z CP	WHMC	total_intercept[706]	3118.0943454909984	0.8396379628626951
brms S2Z CP	WHMC	total_intercept[707]	3286.9684923644418	0.8447809651410796
brms S2Z CP	WHMC	total_intercept[708]	3007.7512524958065	0.9566722399387925
brms S2Z CP	WHMC	total_intercept[709]	3976.737679896361	0.9030992698174837
brms S2Z CP	WHMC	total_intercept[710]	4511.608822291811	0.9589561109932507
brms S2Z CP	WHMC	total_intercept[711]	3440.2477171744617	1.1025537361722033
brms S2Z CP	WHMC	total_intercept[712]	3742.3515541724933	1.2133879808608472
brms S2Z CP	WHMC	total_intercept[713]	4084.111622070167	1.1909924416390392
brms S2Z CP	WHMC	total_intercept[714]	3237.948222120944	1.5034701719483778
brms S2Z CP	WHMC	total_intercept[715]	3366.41119651762	1.4564786818979027
brms S2Z CP	WHMC	total_intercept[716]	2577.69655202613	2.3950228489055703
brms S2Z CP	WHMC	total_intercept[717]	3530.366632321915	1.7806977807705189
brms S2Z CP	WHMC	total_intercept[718]	2845.9069810053343	2.0511756768523273
brms S2Z CP	WHMC	total_intercept[719]	3279.2787492643506	1.9651802405081935
brms S2Z CP	WHMC	total_intercept[720]	3686.7292875297703	1.9820697545861325
brms S2Z CP	WHMC	total_load[701]	2530.6267286440625	0.3637203936477223
brms S2Z CP	WHMC	total_load[702]	2693.8425562694074	0.211165524983365
brms S2Z CP	WHMC	total_load[703]	3105.711087049416	0.2351911685490319
brms S2Z CP	WHMC	total_load[704]	3369.9648653449326	0.2375865253059481
brms S2Z CP	WHMC	total_load[705]	2606.8890839553146	0.3038697732512741
brms S2Z CP	WHMC	total_load[706]	3375.7734271354393	0.26646083716978664
brms S2Z CP	WHMC	total_load[707]	3202.5256263856973	0.28327652523973285
brms S2Z CP	WHMC	total_load[708]	2470.502427265599	0.342096259833084
brms S2Z CP	WHMC	total_load[709]	4002.914141723238	0.2941045497885895
brms S2Z CP	WHMC	total_load[710]	4039.0651834556593	0.3328243259021388
brms S2Z CP	WHMC	total_load[711]	3063.737050291508	0.37921216328971696
brms S2Z CP	WHMC	total_load[712]	3665.0661012057053	0.40592407857648277
brms S2Z CP	WHMC	total_load[713]	4020.1818412331727	0.3853223889216207
brms S2Z CP	WHMC	total_load[714]	2974.214349358958	0.5040918842516579
brms S2Z CP	WHMC	total_load[715]	3758.8699641583307	0.4495273391897273
brms S2Z CP	WHMC	total_load[716]	2696.917280167185	0.711108333918515
brms S2Z CP	WHMC	total_load[717]	3554.4109606903075	0.5494135908477554
brms S2Z CP	WHMC	total_load[718]	3030.498503523581	0.6573912725852424
