parameter	baseline_mean	partial_mean	baseline_sd	partial_sd	baseline_mcse	partial_mcse	standardized_mean_difference
total_intercept[716]	6227.735376302958	6238.952718200944	124.48893983128139	130.16062951568998	3.206160452155272	2.685714283446878	2.682030376635524
total_intercept[717]	6955.21746937025	6956.473046001111	102.80455777658997	102.47457249510025	2.3827070478743444	2.247528517833708	0.3833276372647339
total_intercept[718]	6779.471036256411	6777.736191181356	113.80965528673713	111.77040287371199	3.3650370800964526	2.190360452174153	-0.4320784849622585
total_intercept[719]	10161.236307244353	10157.39502149883	118.4690944932542	120.1742752192827	3.5063263989504754	2.544952971006856	-0.8866079724931245
total_intercept[720]	8766.91102361881	8770.698337964222	121.54577863737329	131.18906055259208	2.872880125461677	2.491548739056547	0.9959289475974199
total_load[701]	36.16157476968861	35.86415372100221	17.245540589079596	17.42181157756715	0.511081620290713	0.407429719999472	-0.45504500413976934
total_load[702]	22.551367825974424	22.700814398655915	11.07380379130133	11.6821760773137	0.21534381996828975	0.27279641002557525	0.43000049458905026
total_load[703]	20.903967058975475	21.004076913592023	11.945071731438844	11.75620739972739	0.3014517914795895	0.2614631768260879	0.2508741775060337
total_load[704]	69.78831847442945	69.97317709453287	13.53205514852142	13.137250860030754	0.30345736247534455	0.29589182431402705	0.4361543288429821
total_load[705]	37.523473741387946	37.51163436622301	15.048656697754483	15.095489604735278	0.2956297571065447	0.31324460775161606	-0.027487448222560624
total_load[706]	52.58195658725941	52.63365010390424	15.375324871836089	14.951116053638987	0.3261847610331774	0.3071147958722412	0.11538386571649026
total_load[707]	58.00578595443632	57.88155573429222	16.689734887791698	16.334972896585896	0.33447934923652056	0.3376863178722207	-0.26137315722631255
total_load[708]	33.64650845025075	33.91223142618927	17.25925461451585	17.182492724948034	0.34270643983601234	0.35714789929076757	0.5368389323843419
total_load[709]	14.825656402005276	14.430497810758682	18.844314543419202	18.464972696843915	0.34295445882052833	0.37184748343882973	-0.7811711649421705
total_load[710]	-15.515062911062596	-14.93417748960972	21.51443492526787	20.688912175306783	0.4874784288416798	0.46123643156683547	0.8655729865422137
total_load[711]	72.11575376928792	73.41507431720652	22.5364229464033	22.09046412060215	0.5249123052634318	0.514627704044809	1.7675383372635396
total_load[712]	175.13998709161046	175.33950936582795	25.294956346833665	24.99724404386232	0.5397113116270166	0.54925095706391	0.2591056529262111
total_load[713]	46.631800012720085	45.89555496029022	24.855119628274476	24.693111552061772	0.6295355265887375	0.55780194899703	-0.8753304980854923
total_load[714]	55.01647102316939	56.00601755084051	25.591480725429996	26.64159846027827	0.5855066346710096	0.6023601611799507	1.177985017165402
total_load[715]	17.32816461679377	17.226247142697193	28.480567476078285	29.582783708557862	0.8138798280869212	0.6676894080801332	-0.09681389953923808
total_load[716]	27.870370942360722	24.164617941688842	38.29901595466516	39.089100609916954	0.941630707605335	0.8233005333221716	-2.9627143000796994
