coordinate	candidate	native_loss	expected_loss	error
25	0.2	-0.5373493504791348	-0.5373493504791352	4.440892098500626e-16
25	0.3	-0.5552393403385931	-0.555239340338593	1.1102230246251565e-16
25	0.4	-0.5717288572104714	-0.571728857210471	4.440892098500626e-16
25	0.5	-0.586533945204704	-0.586533945204704	0.0
25	0.6	-0.599378959505713	-0.5993789595057116	1.3322676295501878e-15
25	0.7	-0.610009012484005	-0.6100090124840056	6.661338147750939e-16
25	0.8	-0.618202999872799	-0.6182029998727991	1.1102230246251565e-16
25	0.9	-0.6237860163144663	-0.6237860163144667	4.440892098500626e-16
25	1.0	-0.6266398434546137	-0.6266398434546127	9.992007221626409e-16
26	0.0	-0.37683585238160827	-0.3768358523816081	1.6653345369377348e-16
26	0.1	-0.4004717142722515	-0.4004717142722513	1.6653345369377348e-16
26	0.2	-0.4243005960741007	-0.4243005960741008	1.1102230246251565e-16
26	0.3	-0.44795507410612945	-0.4479550741061298	3.3306690738754696e-16
26	0.4	-0.4709588703568966	-0.4709588703568964	2.220446049250313e-16
26	0.5	-0.4927206113408809	-0.4927206113408809	0.0
26	0.6	-0.5125414032248501	-0.5125414032248501	0.0
26	0.7	-0.5296431296076894	-0.5296431296076901	6.661338147750939e-16
26	0.8	-0.5432224350848546	-0.5432224350848543	2.220446049250313e-16
26	0.9	-0.5525297242818936	-0.5525297242818934	2.220446049250313e-16
26	1.0	-0.5569634594575683	-0.5569634594575683	0.0
27	0.0	-0.40331313077101055	-0.40331313077101066	1.1102230246251565e-16
27	0.1	-0.42816808251532645	-0.4281680825153268	3.3306690738754696e-16
27	0.2	-0.453235443096604	-0.4532354430966043	2.7755575615628914e-16
27	0.3	-0.47812877034412804	-0.4781287703441279	1.6653345369377348e-16
27	0.4	-0.5023630690312706	-0.5023630690312706	0.0
27	0.5	-0.5253572345575351	-0.5253572345575347	4.440892098500626e-16
27	0.6	-0.5464505354675417	-0.5464505354675417	0.0
27	0.7	-0.5649369836778411	-0.5649369836778407	3.3306690738754696e-16
27	0.8	-0.5801184388516806	-0.5801184388516806	0.0
27	0.9	-0.5913721340782246	-0.5913721340782244	2.220446049250313e-16
27	1.0	-0.5982222163194888	-0.5982222163194891	3.3306690738754696e-16
28	0.0	-0.4231019744911766	-0.42310197449117615	4.440892098500626e-16
28	0.1	-0.43876069187948297	-0.4387606918794831	1.1102230246251565e-16
28	0.2	-0.4537349345087108	-0.4537349345087108	0.0
28	0.3	-0.4678321835852037	-0.46783218358520445	7.771561172376096e-16
28	0.4	-0.48085239640406136	-0.48085239640406113	2.220446049250313e-16
28	0.5	-0.4925931043648655	-0.4925931043648652	2.7755575615628914e-16
28	0.6	-0.5028556251471906	-0.5028556251471901	5.551115123125783e-16
28	0.7	-0.5114521557042274	-0.5114521557042265	8.881784197001252e-16
28	0.8	-0.5182133600623382	-0.5182133600623381	1.1102230246251565e-16
28	0.9	-0.5229959298408217	-0.5229959298408211	5.551115123125783e-16
28	1.0	-0.5256895057587029	-0.525689505758703	1.1102230246251565e-16
29	0.0	-0.564949520438312	-0.5649495204383119	1.1102230246251565e-16
29	0.1	-0.5769391904978914	-0.5769391904978911	3.3306690738754696e-16
29	0.2	-0.5878092399126791	-0.5878092399126792	1.1102230246251565e-16
29	0.3	-0.5974695619514687	-0.5974695619514689	2.220446049250313e-16
29	0.4	-0.605838133020202	-0.6058381330202013	6.661338147750939e-16
29	0.5	-0.612842341598014	-0.6128423415980143	3.3306690738754696e-16
29	0.6	-0.6184201820742748	-0.6184201820742748	0.0
29	0.7	-0.6225212804603582	-0.6225212804603579	2.220446049250313e-16
29	0.8	-0.6251077238107843	-0.6251077238107838	4.440892098500626e-16
29	0.9	-0.6261546712678917	-0.626154671267891	6.661338147750939e-16
29	1.0	-0.6256507316192882	-0.6256507316192881	1.1102230246251565e-16
30	0.0	-0.5189836812301724	-0.5189836812301721	2.220446049250313e-16
30	0.1	-0.5288918714058465	-0.5288918714058458	6.661338147750939e-16
30	0.2	-0.5378595179733391	-0.5378595179733388	3.3306690738754696e-16
