pair_number	index	candidate	loss	groups	effective_n
37	41	0.7	-0.6365470973333679	500	500.0
37	41	0.8	-0.6287765795541106	500	500.0
37	41	0.9	-0.6148389853060641	500	500.0
37	41	1.0	-0.5959267452804201	500	500.0
38	42	0.0	-0.49999174986584927	500	500.0
38	42	0.1	-0.5312869085810518	500	500.0
38	42	0.2	-0.5607957186670832	500	500.0
38	42	0.3	-0.5869354606453534	500	500.0
38	42	0.4	-0.6079496920176355	500	500.0
38	42	0.5	-0.6221661135186668	500	500.0
38	42	0.6	-0.6283328048301902	500	500.0
38	42	0.7	-0.625920839165187	500	500.0
38	42	0.8	-0.6152606748730285	500	500.0
38	42	0.9	-0.5974459066333498	500	500.0
38	42	1.0	-0.5740538059680661	500	500.0
39	43	0.0	-0.5779855195938474	500	500.0
39	43	0.1	-0.5879478971225782	500	500.0
39	43	0.2	-0.5966985206509715	500	500.0
39	43	0.3	-0.6041608416776103	500	500.0
39	43	0.4	-0.6102679037543478	500	500.0
39	43	0.5	-0.6149635029308343	500	500.0
39	43	0.6	-0.6182031778096996	500	500.0
39	43	0.7	-0.6199549998362622	500	500.0
39	43	0.8	-0.6202001405355888	500	500.0
39	43	0.9	-0.6189331995742485	500	500.0
39	43	1.0	-0.616162285376549	500	500.0
40	44	0.0	-0.5991222905175289	500	500.0
40	44	0.1	-0.6151739387544006	500	500.0
40	44	0.2	-0.6291284125197901	500	500.0
40	44	0.3	-0.6405928564107867	500	500.0
40	44	0.4	-0.6492084606987087	500	500.0
40	44	0.5	-0.6546765230198088	500	500.0
40	44	0.6	-0.6567828606636634	500	500.0
40	44	0.7	-0.655416937421308	500	500.0
40	44	0.8	-0.6505825118004288	500	500.0
40	44	0.9	-0.6423978957957952	500	500.0
40	44	1.0	-0.6310857426730817	500	500.0
