index	centeredness	loss	admissible
7	0.12	-0.9682171919357222	true
7	0.13	-0.9645297399407495	true
7	0.14	-0.9602230367192844	true
7	0.15	-0.9552915474953887	true
7	0.16	-0.949729974720352	true
7	0.17	-0.9435333200516509	true
7	0.18	-0.936696957457553	true
7	0.19	-0.9292167187169471	true
7	0.2	-0.9210889925646251	true
7	0.21	-0.912310838659403	true
7	0.22	-0.9028801174121994	true
7	0.23	-0.8927956364889262	true
7	0.24	-0.8820573144833936	true
7	0.25	-0.870666361823963	true
7	0.26	-0.85862547842171	true
7	0.27	-0.8459390668785496	true
7	0.28	-0.8326134592478796	true
7	0.29	-0.8186571543831745	true
7	0.3	-0.8040810618372345	true
7	0.31	-0.7888987471159749	true
7	0.32	-0.7731266718900309	true
7	0.33	-0.7567844215864258	true
7	0.34	-0.7398949116985716	true
7	0.35	-0.7224845632582518	true
7	0.36	-0.7045834373102555	true
7	0.37	-0.6862253180250462	true
7	0.38	-0.667447734377227	true
7	0.39	-0.6482919111906852	true
7	0.4	-0.6288026418584174	true
7	0.41	-0.6090280771978027	true
7	0.42	-0.5890194276602531	true
7	0.43	-0.5688305793796521	true
7	0.44	-0.5485176281607211	true
7	0.45	-0.5281383392691588	true
7	0.46	-0.5077515445458451	true
7	0.47	-0.4874164916671255	true
7	0.48	-0.4671921630605993	true
7	0.49	-0.4471365838446122	true
7	0.5	-0.427306139032975	true
7	0.51	-0.4077549200551376	true
7	0.52	-0.38853411939425264	true
7	0.53	-0.3696914899358727	true
7	0.54	-0.3512708826188838	true
7	0.55	-0.3333118724145948	true
7	0.56	-0.31584947878840697	true
7	0.57	-0.2989139828852181	true
7	0.58	-0.28253083996884915	true
7	0.59	-0.2667206823419794	true
7	0.6	-0.25149940522735803	true
7	0.61	-0.2368783259953113	true
7	0.62	-0.2228644057099051	true
7	0.63	-0.20946052121779377	true
7	0.64	-0.19666577585942333	true
7	0.65	-0.1844758372523534	true
7	0.66	-0.17288329137493466	true
7	0.67	-0.16187800325415355	true
7	0.68	-0.1514474758269756	true
7	0.69	-0.1415771999037104	true
7	0.7	-0.13225098953365888	true
7	0.71	-0.12345129839350938	true
7	0.72	-0.11515951404076237	true
7	0.73	-0.10735622796697127	true
7	0.74	-0.10002148033170254	true
7	0.75	-0.09313497905213192	true
7	0.76	-0.086676293568082	true
7	0.77	-0.08062502410730099	true
7	0.78	-0.07496094765418333	true
7	0.79	-0.06966414209248334	true
7	0.8	-0.06471509016525813	true
7	0.81	-0.060094764989442155	true
7	0.82	-0.05578469889331008	true
7	0.83	-0.051767037326392616	true
7	0.84	-0.04802457953531764	true
7	0.85	-0.04454080761591488	true
7	0.86	-0.04129990545044941	true
7	0.87	-0.038286768926100195	true
7	0.88	-0.0354870087124259	true
7	0.89	-0.03288694675593992	true
7	0.9	-0.03047360753234223	true
7	0.91	-0.02823470498382942	true
7	0.92	-0.02615862596187515	true
7	0.93	-0.02423441089600421	true
7	0.94	-0.022451732316966875	true
7	0.95	-0.020800871778591117	true
7	0.96	-0.019272695646415275	true
7	0.97	-0.017858630152751787	true
7	0.98	-0.016550636056744093	true
7	0.99	-0.015341183193798425	true
7	1.0	-0.014223225150998728	true
8	0.0	-0.9423466699318775	true
8	0.01	-0.9447527572002827	true
8	0.02	-0.946584157182833	true
8	0.03	-0.9478355352576217	true
8	0.04	-0.9485010489258727	true
8	0.05	-0.9485743384665183	true
8	0.06	-0.9480485181994177	true
8	0.07	-0.9469161690639197	true
8	0.08	-0.9451693334992723	true
8	0.09	-0.9427995139229757	true
8	0.1	-0.9397976764465674	true
8	0.11	-0.9361542618475822	true
8	0.12	-0.9318592062318029	true
8	0.13	-0.9269019742679507	true
8	0.14	-0.9212716083501432	true
8	0.15	-0.9149567975279144	true
8	0.16	-0.9079459705183507	true
8	0.17	-0.900227417549148	true
8	0.18	-0.8917894461333526	true
8	0.19	-0.8826205760915098	true
8	0.2	-0.8727097791462968	true
8	0.21	-0.8620467681361293	true
8	0.22	-0.8506223402332532	true
8	0.23	-0.8384287774062067	true
8	0.24	-0.825460305633869	true
8	0.25	-0.8117136119672897	true
8	0.26	-0.7971884153824436	true
8	0.27	-0.7818880834558775	true
8	0.28	-0.7658202822812621	true
8	0.29	-0.7489976418791868	true
8	0.3	-0.731438413903317	true
8	0.31	-0.7131670931106197	true
8	0.32	-0.6942149693656893	true
8	0.33	-0.6746205735144738	true
