prior	arm	qoi	bulk_ess	mcse	mean	sd
Gaussian	Totals NCP / WHMC	total_intercept[711]	3409.919086284666	1.1262733427186884	3734.390777224587	65.85873776358886
Gaussian	Totals NCP / WHMC	total_intercept[712]	2137.1679102045973	1.600867452937199	6559.296397539206	74.37671353091069
Gaussian	Totals NCP / WHMC	total_intercept[713]	2848.6421805152	1.4197043773609954	9358.48394271611	75.88769602431046
Gaussian	Totals NCP / WHMC	total_intercept[714]	2003.3162982434915	1.8761534545541514	5620.843213349827	84.03314361680262
Gaussian	Totals NCP / WHMC	total_intercept[715]	3061.0212148125065	1.612197877699757	6386.946269336669	89.28381149766436
Gaussian	Totals NCP / WHMC	total_intercept[716]	2813.0602529629473	2.257878452022513	6235.077222662061	120.31260497603355
Gaussian	Totals NCP / WHMC	total_intercept[717]	1791.539639566193	2.4597152617644653	6954.9466212124735	104.29515822770463
Gaussian	Totals NCP / WHMC	total_intercept[718]	1599.2541753410712	2.893441464420729	6778.942692743167	115.56084963089354
Gaussian	Totals NCP / WHMC	total_intercept[719]	2664.907154475561	2.186542030788718	10160.818606835304	114.11783543836503
Gaussian	Totals NCP / WHMC	total_intercept[720]	2088.5392433517904	2.585445199339822	8767.729308749347	118.59514725515376
Gaussian	Totals NCP / WHMC	total_load[701]	2895.214094326249	0.3313268184716533	35.71539599052175	17.851644761667792
Gaussian	Totals NCP / WHMC	total_load[702]	2556.8151162018275	0.2284751919760333	22.195150351156638	11.55231210140643
Gaussian	Totals NCP / WHMC	total_load[703]	3111.6512175122307	0.2161193454830033	20.882542396874964	12.098069290486382
Gaussian	Totals NCP / WHMC	total_load[704]	3123.6648325215688	0.24009395678178297	69.61326912383359	13.401238452535415
Gaussian	Totals NCP / WHMC	total_load[705]	2680.2734874189564	0.30217630240268756	38.38547849879918	15.599153680069811
Gaussian	Totals NCP / WHMC	total_load[706]	2181.2859324195338	0.31044715890010427	52.834162486946305	14.503524437533581
Gaussian	Totals NCP / WHMC	total_load[707]	2115.000036055421	0.347065010470422	58.237740255812795	16.03262312878127
Gaussian	Totals NCP / WHMC	total_load[708]	1731.851828087083	0.42575268948220635	33.64962618942592	17.685026107775087
Gaussian	Totals NCP / WHMC	total_load[709]	1889.3227075228922	0.4321362542462818	15.111840536673817	18.761345706085542
Gaussian	Totals NCP / WHMC	total_load[710]	1741.981781892819	0.4864065708433209	-15.51118132232836	20.32574299222931
Gaussian	Totals NCP / WHMC	total_load[711]	2988.92133350065	0.39568242325377906	72.37248079295895	21.60484200242189
Gaussian	Totals NCP / WHMC	total_load[712]	1790.3046015379593	0.5773802581183614	176.0581692715721	24.450627852853138
Gaussian	Totals NCP / WHMC	total_load[713]	2589.23198005191	0.47316862291029993	45.37025622780732	24.05467156096256
Gaussian	Totals NCP / WHMC	total_load[714]	2297.8887812565913	0.554658625037254	54.409780043948736	26.5180093026875
Gaussian	Totals NCP / WHMC	total_load[715]	2645.7889780595565	0.5654228641738125	16.842117671758512	29.04047994690144
Gaussian	Totals NCP / WHMC	total_load[716]	2796.5046705678897	0.6836560834427653	24.691168519863314	36.19957332472567
Gaussian	Totals NCP / WHMC	total_load[717]	1738.7313987444134	0.8213033649026593	152.13393528251945	34.0747010169498
Gaussian	Totals NCP / WHMC	total_load[718]	1178.8493784665425	1.0950467121344227	170.57207580157888	37.773131353446495
Gaussian	Totals NCP / WHMC	total_load[719]	3009.536517501326	0.6475650104809686	27.375353395778955	35.552142578643505
Gaussian	Totals NCP / WHMC	total_load[720]	1801.511627421195	0.8713613226317336	103.89122840326264	36.85218144658718
Gaussian	Post-hoc position / WHMC	population_intercept_at_mean_load	2044.0774184833886	12.584109079924733	5629.910682665847	568.5340298147208
Gaussian	Post-hoc position / WHMC	population_load	2027.0235370180942	0.34916178784825447	59.170550433658065	15.671369495847872
Gaussian	Post-hoc position / WHMC	log_tau_intercept	4724.220659705682	0.002479282824294686	7.817458543777932	0.16352449804194724
Gaussian	Post-hoc position / WHMC	log_tau_load	2414.8800413028666	0.004465995343828243	4.099247263939628	0.21922313056576195
Gaussian	Post-hoc position / WHMC	log_sigma_intercept	5040.6958016091585	0.00021152992542254566	6.051952357857564	0.01500740812485947
Gaussian	Post-hoc position / WHMC	log_sigma_subj_slope	4817.761298514806	3.958675402265516e-5	0.07820889054653188	0.002754934960897716
Gaussian	Post-hoc position / WHMC	total_intercept[701]	1694.6635584998	1.287280493070019	613.0739891413139	52.97469495112618
Gaussian	Post-hoc position / WHMC	total_intercept[702]	2031.940873584051	0.7706636509271853	1553.7887177828536	34.68513053702602
Gaussian	Post-hoc position / WHMC	total_intercept[703]	2169.0875814879623	0.7779759897426949	1834.9730137310942	36.05942664982907
Gaussian	Post-hoc position / WHMC	total_intercept[704]	1932.4281878688323	0.9235228694527917	4815.939857016051	40.46927982914076
Gaussian	Post-hoc position / WHMC	total_intercept[705]	1849.9922244249542	1.072683585402892	4120.990351712471	46.16085491448732
Gaussian	Post-hoc position / WHMC	total_intercept[706]	2300.332614925	0.9600138918107217	5511.278982130066	46.03626315301903
Gaussian	Post-hoc position / WHMC	total_intercept[707]	1945.5717242452233	1.1344385477792773	5383.274003349659	50.48690210442954
Gaussian	Post-hoc position / WHMC	total_intercept[708]	2491.3585240501898	1.0678299007695071	5018.520938972227	53.474681992512075
Gaussian	Post-hoc position / WHMC	total_intercept[709]	2427.9468684325125	1.1605597437472726	4327.364397962557	57.19342810586628
Gaussian	Post-hoc position / WHMC	total_intercept[710]	2041.8675374239078	1.3963929858326698	5653.71650930631	63.09183281518156
Gaussian	Post-hoc position / WHMC	total_intercept[711]	1648.8967236823212	1.6775170341346028	3732.887104852166	68.28603884177558
Gaussian	Post-hoc position / WHMC	total_intercept[712]	2128.5076878707755	1.6171395218557878	6560.205503853459	74.75769846055512
Gaussian	Post-hoc position / WHMC	total_intercept[713]	2155.350612352964	1.6497214174925754	9356.852139195256	76.29195226295657
Gaussian	Post-hoc position / WHMC	total_intercept[714]	2133.2181421185214	1.8126855207426626	5617.342277429453	83.50866833712858
Gaussian	Post-hoc position / WHMC	total_intercept[715]	1869.956153329044	2.1371500698793144	6385.537625754794	92.40261473299411
Gaussian	Post-hoc position / WHMC	total_intercept[716]	2350.154352906729	2.685714283446878	6238.952718200944	130.16062951568998
Gaussian	Post-hoc position / WHMC	total_intercept[717]	2085.441243554979	2.247528517833708	6956.473046001111	102.47457249510025
Gaussian	Post-hoc position / WHMC	total_intercept[718]	2628.2136565706624	2.190360452174153	6777.736191181356	111.77040287371199
Gaussian	Post-hoc position / WHMC	total_intercept[719]	2226.6867018962525	2.544952971006856	10157.39502149883	120.1742752192827
Gaussian	Post-hoc position / WHMC	total_intercept[720]	2763.4904302928453	2.491548739056547	8770.698337964222	131.18906055259208
Gaussian	Post-hoc position / WHMC	total_load[701]	1832.2067500786595	0.407429719999472	35.86415372100221	17.42181157756715
Gaussian	Post-hoc position / WHMC	total_load[702]	1830.0549620315546	0.27279641002557525	22.700814398655915	11.6821760773137
Gaussian	Post-hoc position / WHMC	total_load[703]	2033.969031531313	0.2614631768260879	21.004076913592023	11.75620739972739
Gaussian	Post-hoc position / WHMC	total_load[704]	1968.427639880038	0.29589182431402705	69.97317709453287	13.137250860030754
Gaussian	Post-hoc position / WHMC	total_load[705]	2313.7372591398594	0.31324460775161606	37.51163436622301	15.095489604735278
Gaussian	Post-hoc position / WHMC	total_load[706]	2381.6966473318585	0.3071147958722412	52.63365010390424	14.951116053638987
Gaussian	Post-hoc position / WHMC	total_load[707]	2314.3204676426494	0.3376863178722207	57.88155573429222	16.334972896585896
Gaussian	Post-hoc position / WHMC	total_load[708]	2319.10212431595	0.35714789929076757	33.91223142618927	17.182492724948034
Gaussian	Post-hoc position / WHMC	total_load[709]	2466.877609673225	0.37184748343882973	14.430497810758682	18.464972696843915
Gaussian	Post-hoc position / WHMC	total_load[710]	2014.7962275913267	0.46123643156683547	-14.93417748960972	20.688912175306783
Gaussian	Post-hoc position / WHMC	total_load[711]	1840.9381465098327	0.514627704044809	73.41507431720652	22.09046412060215
Gaussian	Post-hoc position / WHMC	total_load[712]	2081.937397840989	0.54925095706391	175.33950936582795	24.99724404386232
Gaussian	Post-hoc position / WHMC	total_load[713]	1954.5076991457704	0.55780194899703	45.89555496029022	24.693111552061772
