arm	recovery_seed	scope	min_bulk_ess	limiting_parameter	min_bulk_ess_per_1000_sampling_gradients	min_bulk_ess_per_1000_all_gradients
scaled_total	112	original_stan_ncp46	96.23366761153939	log_tau_intercept	0.7572207258870971	0.7146842795616805
scaled_total	113	original_physical46	96.23366761153939	log_tau_intercept	0.7572207258870971	0.7146842795616805
scaled_total	113	original_physical_plus_raw_intercepts48	96.23366761153939	log_tau_intercept	0.7572207258870971	0.7146842795616805
scaled_total	113	original_stan_ncp46	96.23366761153939	log_tau_intercept	0.7572207258870971	0.7146842795616805
scaled_total	114	original_physical46	96.23366761153939	log_tau_intercept	0.7572207258870971	0.7146842795616805
scaled_total	114	original_physical_plus_raw_intercepts48	96.23366761153939	log_tau_intercept	0.7572207258870971	0.7146842795616805
scaled_total	114	original_stan_ncp46	96.23366761153939	log_tau_intercept	0.7572207258870971	0.7146842795616805
scaled_total	115	original_physical46	96.23366761153939	log_tau_intercept	0.7572207258870971	0.7146842795616805
scaled_total	115	original_physical_plus_raw_intercepts48	96.23366761153939	log_tau_intercept	0.7572207258870971	0.7146842795616805
scaled_total	115	original_stan_ncp46	96.23366761153939	log_tau_intercept	0.7572207258870971	0.7146842795616805
scaled_total	116	original_physical46	96.23366761153939	log_tau_intercept	0.7572207258870971	0.7146842795616805
scaled_total	116	original_physical_plus_raw_intercepts48	96.23366761153939	log_tau_intercept	0.7572207258870971	0.7146842795616805
scaled_total	116	original_stan_ncp46	96.23366761153939	log_tau_intercept	0.7572207258870971	0.7146842795616805
scaled_total	117	original_physical46	96.23366761153939	log_tau_intercept	0.7572207258870971	0.7146842795616805
scaled_total	117	original_physical_plus_raw_intercepts48	96.23366761153939	log_tau_intercept	0.7572207258870971	0.7146842795616805
scaled_total	117	original_stan_ncp46	96.23366761153939	log_tau_intercept	0.7572207258870971	0.7146842795616805
scaled_total	118	original_physical46	96.23366761153939	log_tau_intercept	0.7572207258870971	0.7146842795616805
scaled_total	118	original_physical_plus_raw_intercepts48	96.23366761153939	log_tau_intercept	0.7572207258870971	0.7146842795616805
scaled_total	118	original_stan_ncp46	96.23366761153939	log_tau_intercept	0.7572207258870971	0.7146842795616805
scaled_total	119	original_physical46	96.23366761153939	log_tau_intercept	0.7572207258870971	0.7146842795616805
scaled_total	119	original_physical_plus_raw_intercepts48	96.23366761153939	log_tau_intercept	0.7572207258870971	0.7146842795616805
scaled_total	119	original_stan_ncp46	96.23366761153939	log_tau_intercept	0.7572207258870971	0.7146842795616805
scaled_total	120	original_physical46	96.23366761153939	log_tau_intercept	0.7572207258870971	0.7146842795616805
scaled_total	120	original_physical_plus_raw_intercepts48	96.23366761153939	log_tau_intercept	0.7572207258870971	0.7146842795616805
scaled_total	120	original_stan_ncp46	96.23366761153939	log_tau_intercept	0.7572207258870971	0.7146842795616805
partial	101	original_physical46	1964.8409331576156	deviation_load[701]	65.79295918690114	57.31741345267257
partial	101	original_physical_plus_raw_intercepts48	1964.8409331576156	deviation_load[701]	65.79295918690114	57.31741345267257
partial	101	original_stan_ncp46	1953.5389097445643	z_load[701]	65.41450943425409	56.987716153575384
partial	102	original_physical46	1929.3929253553877	population_load	64.60597794519782	56.283340879678754
partial	102	original_physical_plus_raw_intercepts48	1929.3929253553877	population_load	64.60597794519782	56.283340879678754
partial	102	original_stan_ncp46	1929.3929253553877	population_load	64.60597794519782	56.283340879678754
partial	103	original_physical46	1938.3671897283814	population_load	64.90648237772507	56.54513388939269
partial	103	original_physical_plus_raw_intercepts48	1938.3671897283814	population_load	64.90648237772507	56.54513388939269
partial	103	original_stan_ncp46	1938.3671897283814	population_load	64.90648237772507	56.54513388939269
partial	104	original_physical46	1949.9906681986304	deviation_load[718]	65.29569609558767	56.8842085238807
partial	104	original_physical_plus_raw_intercepts48	1949.9906681986304	deviation_load[718]	65.29569609558767	56.8842085238807
partial	104	original_stan_ncp46	1914.318867053411	z_load[702]	64.10122110411903	55.84360755698398
partial	105	original_physical46	1915.360826862639	deviation_load[703]	64.13611126649609	55.87400311734653
partial	105	original_physical_plus_raw_intercepts48	1915.360826862639	deviation_load[703]	64.13611126649609	55.87400311734653
partial	105	original_stan_ncp46	1962.8214915262738	z_load[703]	65.72533791609543	57.258503253391886
partial	106	original_physical46	1791.0541524030975	deviation_intercept[718]	59.973685789013444	52.24778740965862
partial	106	original_physical_plus_raw_intercepts48	1791.0541524030975	deviation_intercept[718]	59.973685789013444	52.24778740965862
partial	106	original_stan_ncp46	1850.436871600998	population_intercept_at_mean_load	61.962124015570524	53.980072100379175
partial	107	original_physical46	1945.8017753607376	deviation_intercept[710]	65.15543046345893	56.76201211670763
partial	107	original_physical_plus_raw_intercepts48	1945.8017753607376	deviation_intercept[710]	65.15543046345893	56.76201211670763
partial	107	original_stan_ncp46	1948.9853629215365	z_load[701]	65.26203331507958	56.85488223225019
partial	108	original_physical46	1951.6927844013026	deviation_load[702]	65.35269168233667	56.93386185534721
partial	108	original_physical_plus_raw_intercepts48	1951.6927844013026	deviation_load[702]	65.35269168233667	56.93386185534721
partial	108	original_stan_ncp46	1878.0265390074155	z_load[713]	62.88596768709535	54.7849048718616
partial	109	original_physical46	1892.9386264708078	population_load	63.38530091316661	55.21991325760816
partial	109	original_physical_plus_raw_intercepts48	1892.9386264708078	population_load	63.38530091316661	55.21991325760816
partial	109	original_stan_ncp46	1892.9386264708078	population_load	63.38530091316661	55.21991325760816
partial	110	original_physical46	1773.6232190375056	deviation_intercept[706]	59.39000867390522	51.73930043866702
partial	110	original_physical_plus_raw_intercepts48	1773.6232190375056	deviation_intercept[706]	59.39000867390522	51.73930043866702
partial	110	original_stan_ncp46	1788.9398865406408	z_intercept[706]	59.90288931625505	52.18611104260913
partial	111	original_physical46	1909.0125182181694	population_load	63.92353730974315	55.68881325023832
partial	111	original_physical_plus_raw_intercepts48	1909.0125182181694	population_load	63.92353730974315	55.68881325023832
partial	111	original_stan_ncp46	1909.0125182181694	population_load	63.92353730974315	55.68881325023832
partial	112	original_physical46	1894.3519909100817	deviation_load[702]	63.432627608829414	55.26114325875384
