arm	recovery_seed	parameter	conditional_noise_variance_fraction	conditional_mean_bulk_ess	recovered_bulk_ess	conditional_mean_mean_ess	recovered_mean_ess	conditional_mean_mcse	recovered_mcse	predicted_recovered_mcse	recovered_mean	conditional_mean	posterior_sd_from_total_variance
partial	117	deviation_intercept[702]	0.9956051598788	1985.5338831917056	1992.4763322415768	1993.3871785311478	2003.2720171276671	0.8059015332478837	11.971187884428304	12.136527380427447	-3918.614390284426	-3919.305998881936	542.7580481526007
partial	117	deviation_intercept[703]	0.9946940218206072	2599.8796986386637	2014.1505968141123	2597.8882439533454	2019.8789619584782	0.7760283458791364	11.929354937350228	12.134580321056914	-3638.238142198085	-3638.9297507955953	543.0065739848968
partial	117	deviation_intercept[704]	0.994007934949285	2124.2755680816804	2001.0218288207868	2124.447716314423	2006.2437748504935	0.912263190921129	12.003505236765161	12.144053841451932	-656.2036205155879	-656.8952291130986	543.1939393996826
partial	117	deviation_intercept[705]	0.9925284003213175	2458.8790220871424	2019.8345529155831	2461.431213580747	2023.5955075458878	0.9470901408557041	11.955436156374347	12.146719693377298	-1354.1019686718944	-1354.7935772694052	543.5986507218306
partial	117	deviation_intercept[706]	0.9923202300967902	2513.5193131363662	2010.8426555389203	2508.326960346595	2016.5198196870695	0.9512747072385002	11.96548431689941	12.147046683997123	38.7764643024877	38.08485570497678	543.6556661466884
partial	117	deviation_intercept[707]	0.9909191173923342	2310.1096876139422	2013.7626202823212	2310.1922797048064	1965.4845880348182	1.0786255523893933	12.092427074033278	12.157682865449367	-89.49976582907003	-90.19137442658096	544.0398820617426
partial	117	deviation_intercept[708]	0.9907746042078442	2540.676337841375	1997.3625485795528	2551.2723045112525	2001.1422644581667	1.0346096022698115	11.979236321189099	12.15385686124708	-453.38105428507555	-454.0726628825865	544.0795571143897
partial	117	deviation_intercept[709]	0.9878893330296201	2464.5839765082137	1998.1174292865437	2461.730697503952	2003.026941824625	1.2085356154089109	12.027330173864353	12.169896380342998	-1146.0073303175352	-1146.6989389150465	544.8735086556707
partial	117	deviation_intercept[710]	0.9863912812337703	2266.5813646504084	2010.4637441566365	2267.2726920671366	2013.490164645861	1.3359246701166263	11.957037076794414	12.183206240509927	182.12140494416775	181.42979634665687	545.2871067254956
partial	117	deviation_intercept[711]	0.985613703883623	2636.368009331337	2007.2784770338599	2639.654585082607	2007.218484595184	1.273495521774026	12.033288560956027	12.176518813624536	-1737.9779701954415	-1738.6695787929525	545.5021602033308
partial	117	deviation_intercept[712]	0.9825221281288593	2421.4025800619706	1990.6277916928248	2417.6215768968054	1993.8626473222484	1.469023642414332	12.039983494364753	12.198518354150478	1090.2905703562922	1089.5989617587818	546.3597168144925
partial	117	deviation_intercept[713]	0.9798059748056367	2026.4675601821232	1912.8876236079175	2034.7461178057622	1919.081248926339	1.7235985984278397	12.356249330023035	12.231786938263609	3887.910196310165	3887.218587712654	547.1164838491213
partial	117	deviation_intercept[714]	0.9789935427542814	2811.251998774082	2024.8341008018972	2809.4198509748157	2026.5845094625247	1.4966767479185075	12.031546165686516	12.201879398778441	143.76873889841735	143.07713030090642	547.3434530621367
partial	117	deviation_intercept[715]	0.9755816613526946	2336.1520464910645	2021.8370246112052	2332.038710037767	2025.6007825981296	1.7742230047989915	12.075553074219892	12.239023116463656	913.1987543265419	912.507145729031	548.299724127795
