arm	recovery_seed	parameter	conditional_noise_variance_fraction	conditional_mean_bulk_ess	recovered_bulk_ess	conditional_mean_mean_ess	recovered_mean_ess	conditional_mean_mcse	recovered_mcse	predicted_recovered_mcse	recovered_mean	conditional_mean	posterior_sd_from_total_variance
scaled_total	101	deviation_load[702]	0.6049615627350231	2874.4864806294195	2295.310490177489	2861.8425622080954	2285.746732002069	0.21646998683965069	0.38912078345817525	0.38670724369601306	-36.67345866551978	-36.21176695977081	18.424719406837628
scaled_total	101	deviation_load[703]	0.5559817483743552	3207.6091214604703	2478.683197145746	3192.4029427254527	2469.965921626197	0.22666061671705925	0.3841717517824367	0.39250257616373263	-38.36959890466268	-37.90790719891372	19.219164594496036
scaled_total	101	deviation_load[704]	0.5054963940997006	2800.2448315824777	2379.2777208313955	2791.9404243685894	2362.7702640658554	0.26824856079148174	0.4177221443672889	0.4179001405734513	9.921856385909477	10.383548091658444	20.156064646950302
scaled_total	101	deviation_load[705]	0.45892798558029935	2291.330084985958	2616.790196111708	2291.558263315845	2602.8733728751695	0.32505330537366944	0.4127940792633154	0.45644593158331154	-21.958572064596176	-21.496880358847207	21.15400012677305
scaled_total	101	deviation_load[706]	0.46923579437415763	2635.745801013077	2208.607059312886	2632.3254542518853	2205.9897235868616	0.29706413940971227	0.44986183862000545	0.4369557644062406	-6.805597399340306	-6.343905693591339	20.920362557518693
scaled_total	101	deviation_load[707]	0.4295065504928548	2514.095166483645	2339.1830829074033	2528.967572518629	2340.882904918607	0.3284230110305198	0.4559993809638671	0.45885173128033635	-2.2177756340124226	-1.7560839282634553	21.866530373009052
scaled_total	101	deviation_load[708]	0.3966193689345444	2594.1206366201386	2391.172485353598	2593.259594366859	2395.339900616997	0.3470967120736736	0.46973701549663344	0.4723974647020915	-24.955720408521287	-24.49402870277232	22.75505104069559
scaled_total	101	deviation_load[709]	0.35280652304312554	2885.835586188089	2432.8426967258906	2867.0723553851876	2435.549854161697	0.3624884803703668	0.48002892419675586	0.4838193211580402	-44.62885706927137	-44.16716536352241	24.126619247442477
scaled_total	101	deviation_load[710]	0.31515421713191605	2101.997265421484	2206.420648564082	2098.6156309019784	2202.505349366156	0.46114038034009114	0.537477204198051	0.5615458017871855	-74.71153699124498	-74.24984528549601	25.527201831290864
scaled_total	101	deviation_load[711]	0.33095113821308264	2845.3314118632875	2682.675369338986	2844.7184492978504	2679.1251425419578	0.3820252841861252	0.4904909617259451	0.49862466333114613	13.042724739693368	13.504416445442335	24.91052233145037
scaled_total	101	deviation_load[712]	0.27254674724892036	2397.203225026918	2352.9859061365482	2382.319412604372	2321.1782112252404	0.4796747105955739	0.5647280644653271	0.5768631251081635	116.21300808229641	116.67469978804537	27.450121556410895
