arm	parameter	mean	baseline_mean	mcse	baseline_mcse	z
ordinary_online_gradient	trial_3_total	-38.557118732602206	-38.620723976498944	0.06568876642866968	0.061742174501994755	0.7055452126358677
ordinary_online_gradient	trial_4_total	-48.50180193618742	-48.29817313543649	0.1310569707687877	0.138420807215136	1.0682407830116405
ordinary_online_gradient	trial_5_total	-63.89155342357988	-63.862803661348785	0.2804611888833672	0.2839706149578454	0.07203264859653662
ordinary_online_gradient	trial_6_total	-51.36119275399046	-51.587565003208375	0.10084290169349876	0.10265477576846316	1.5731187707543843
ordinary_online_position	population_mean	-49.843833505723104	-49.70074734560424	0.1647057725001358	0.19693232219838175	0.5573408590334791
ordinary_online_position	between_trial_sd	14.177127510890015	14.497537437984272	0.19747553863638317	0.22105931983408203	1.08093839761353
ordinary_online_position	trial_1_total	-50.063360319291604	-49.8845254497704	0.08376136095584764	0.08246017568582459	1.5214812379483735
ordinary_online_position	trial_2_total	-48.719348608777615	-48.748245191127005	0.060435930977864	0.05598593673291054	0.3507598666898772
ordinary_online_position	trial_3_total	-38.549321738637005	-38.620723976498944	0.06661613486024123	0.061742174501994755	0.786122031402182
ordinary_online_position	trial_4_total	-48.60328011718297	-48.29817313543649	0.11765317087833088	0.138420807215136	1.6794927893531186
ordinary_online_position	trial_5_total	-63.63700547095733	-63.862803661348785	0.25072311683873455	0.2839706149578454	0.5960633247710239
ordinary_online_position	trial_6_total	-51.5022384748417	-51.587565003208375	0.09878351806650429	0.10265477576846316	0.5989310856650114
ordinary_posthoc_gradient	population_mean	-49.832519715719364	-49.70074734560424	0.222307725788847	0.19693232219838175	0.44369294201629716
ordinary_posthoc_gradient	between_trial_sd	13.99462974847366	14.497537437984272	0.210199012238689	0.22105931983408203	1.6486486422918447
ordinary_posthoc_gradient	trial_1_total	-49.756189470529286	-49.8845254497704	0.09115636454000803	0.08246017568582459	1.0440666418781863
ordinary_posthoc_gradient	trial_2_total	-48.644078073778424	-48.748245191127005	0.06093093257805794	0.05598593673291054	1.2588684985189156
ordinary_posthoc_gradient	trial_3_total	-38.682757942705344	-38.620723976498944	0.06143831916730206	0.061742174501994755	0.7121988783703198
ordinary_posthoc_gradient	trial_4_total	-48.398695811024396	-48.29817313543649	0.12850112868898358	0.138420807215136	0.532224760503022
ordinary_posthoc_gradient	trial_5_total	-63.23720479782992	-63.862803661348785	0.30502033406648155	0.2839706149578454	1.5011536752540677
ordinary_posthoc_gradient	trial_6_total	-51.247470017894244	-51.587565003208375	0.10467593654542914	0.10265477576846316	2.319695346249951
