index	centeredness	loss	admissible
5	0.4	-1.1017494369839131	true
5	0.41	-1.102333642843183	true
5	0.42	-1.102890223933759	true
5	0.43	-1.103419097227096	true
5	0.44	-1.1039201807844559	true
5	0.45	-1.1043933937744168	true
5	0.46	-1.1048386564901416	true
5	0.47	-1.1052558903663923	true
5	0.48	-1.1056450179962825	true
5	0.49	-1.1060059631477555	true
5	0.5	-1.1063386507797823	true
5	0.51	-1.1066430070582665	true
5	0.52	-1.1069189593716486	true
5	0.53	-1.1071664363462022	true
5	0.54	-1.1073853678610086	true
5	0.55	-1.1075756850626062	true
5	0.56	-1.1077373203792988	true
5	0.57	-1.107870207535127	true
5	0.58	-1.1079742815634754	true
5	0.59	-1.108049478820329	true
5	0.6	-1.1080957369971516	true
5	0.61	-1.1081129951333915	true
5	0.62	-1.1081011936286016	true
5	0.63	-1.1080602742541654	true
5	0.64	-1.1079901801646268	true
5	0.65	-1.10789085590861	true
5	0.66	-1.1077622474393314	true
5	0.67	-1.107604302124686	true
5	0.68	-1.1074169687569162	true
5	0.69	-1.107200197561842	true
5	0.7	-1.1069539402076605	true
5	0.71	-1.1066781498132996	true
5	0.72	-1.1063727809563273	true
5	0.73	-1.1060377896804072	true
5	0.74	-1.1056731335023002	true
5	0.75	-1.1052787714184045	true
5	0.76	-1.1048546639108314	true
5	0.77	-1.1044007729530154	true
5	0.78	-1.1039170620148517	true
5	0.79	-1.1034034960673615	true
5	0.8	-1.1028600415868812	true
5	0.81	-1.102286666558772	true
5	0.82	-1.101683340480651	true
5	0.83	-1.1010500343651408	true
5	0.84	-1.100386720742133	true
5	0.85	-1.099693373660572	true
5	0.86	-1.0989699686897534	true
5	0.87	-1.0982164829201335	true
5	0.88	-1.0974328949636618	true
5	0.89	-1.0966191849536218	true
5	0.9	-1.0957753345439945	true
5	0.91	-1.0949013269083345	true
5	0.92	-1.0939971467381722	true
5	0.93	-1.0930627802409276	true
5	0.94	-1.092098215137355	true
5	0.95	-1.0911034406585116	true
5	0.96	-1.0900784475422491	true
5	0.97	-1.0890232280292444	true
5	0.98	-1.0879377758585596	true
5	0.99	-1.0868220862627407	true
5	1.0	-1.0856761559624615	true
6	0.0	-0.6846064265157943	true
6	0.01	-0.6890458174581778	true
6	0.02	-0.6934603416145302	true
