package	version	tree_hash	source	git_sha
LazyStack	0.1.3	aff621f1f49e9262a34aaf0d57d02ea3b35aec60	/home/n/.julia/packages/LazyStack/bEWDO	
LeftChildRightSiblingTrees	0.3.0	d4816abce26971e3237b46a47b99991f306e4832	/home/n/.julia/packages/LeftChildRightSiblingTrees/7X9Cz	
LibCURL	0.6.4	nothing	/home/n/.julia/juliaup/julia-1.10.11+0.x64.linux.gnu/share/julia/stdlib/v1.10/LibCURL	
LibCURL_jll	8.4.0+0	nothing	/home/n/.julia/juliaup/julia-1.10.11+0.x64.linux.gnu/share/julia/stdlib/v1.10/LibCURL_jll	
LibGit2	nothing	nothing	/home/n/.julia/juliaup/julia-1.10.11+0.x64.linux.gnu/share/julia/stdlib/v1.10/LibGit2	
LibGit2_jll	1.6.4+0	nothing	/home/n/.julia/juliaup/julia-1.10.11+0.x64.linux.gnu/share/julia/stdlib/v1.10/LibGit2_jll	
LibSSH2_jll	1.11.0+1	nothing	/home/n/.julia/juliaup/julia-1.10.11+0.x64.linux.gnu/share/julia/stdlib/v1.10/LibSSH2_jll	
LibTracyClient_jll	0.13.1+0	d4e20500d210247322901841d4eafc7a0c52642d	/home/n/.julia/packages/LibTracyClient_jll/rf8WR	
Libdl	nothing	nothing	/home/n/.julia/juliaup/julia-1.10.11+0.x64.linux.gnu/share/julia/stdlib/v1.10/Libdl	
Libtask	0.9.19	d045ad5c965fc46c5d4c459d19a99271887de0e9	/home/n/.julia/packages/Libtask/ooOpb	
LineSearches	7.8.1	b4f9762e3ad693626ffd51ae4be359c0a7b08469	/home/n/.julia/packages/LineSearches/viVmL	
LinearAlgebra	nothing	nothing	/home/n/.julia/juliaup/julia-1.10.11+0.x64.linux.gnu/share/julia/stdlib/v1.10/LinearAlgebra	
LogDensityProblems	2.2.0	d9625f27ded4ad726ceca7819394a4cc77ed25b3	/home/n/.julia/packages/LogDensityProblems/Yy6GB	
LogDensityProblemsAD	1.13.1	7b83f3ad0a8105f79a067cafbfd124827bb398d0	/home/n/.julia/packages/LogDensityProblemsAD/DH6MG	
LogExpFunctions	0.3.29	13ca9e2586b89836fd20cccf56e57e2b9ae7f38f	/home/n/.julia/packages/LogExpFunctions/iNqo2	
Logging	nothing	nothing	/home/n/.julia/juliaup/julia-1.10.11+0.x64.linux.gnu/share/julia/stdlib/v1.10/Logging	
