school	centeredness	loss	admissible
1	0.97	0.7797342823898811	true
1	0.98	0.7929348642724808	true
1	0.99	0.8062076950720082	true
1	1.0	0.819552198927084	true
2	0.0	-0.07445794950190715	true
2	0.01	-0.07597753950899971	true
2	0.02	-0.07721050165816772	true
2	0.03	-0.07816652191793144	true
2	0.04	-0.07885468816039012	true
2	0.05	-0.07928353366493365	true
2	0.06	-0.0794610776541878	true
2	0.07	-0.07939486298244375	true
2	0.08	-0.07909199111039025	true
2	0.09	-0.07855915450850934	true
2	0.1	-0.07780266663599224	true
2	0.11	-0.07682848964331579	true
2	0.12	-0.07564225994539836	true
2	0.13	-0.07424931180911315	true
2	0.14	-0.07265469909436181	true
2	0.15	-0.07086321528231498	true
2	0.16	-0.06887941191810316	true
2	0.17	-0.06670761558850095	true
2	0.18	-0.06435194354814101	true
2	0.19	-0.06181631810074442	true
2	0.2	-0.059104479834833204	true
2	0.21	-0.0562199998065408	true
2	0.22	-0.053166290755492326	true
2	0.23	-0.049946617433366064	true
2	0.24	-0.046564106118688386	true
2	0.25	-0.0430217533856857	true
2	0.26	-0.03932243418962236	true
2	0.27	-0.03546890932601454	true
2	0.28	-0.03146383231638808	true
2	0.29	-0.027309755768883254	true
2	0.3	-0.023009137257940626	true
2	0.31	-0.018564344763557422	true
2	0.32	-0.013977661707138267	true
2	0.33	-0.009251291617781321	true
2	0.34	-0.004387362459910449	true
2	0.35	0.000612069349520461	true
2	0.36	0.005745015208488802	true
2	0.37	0.011009550858516848	true
2	0.38	0.016403813152989943	true
2	0.39	0.021925997045605716	true
2	0.4	0.02757435278110537	true
2	0.41	0.0333471832719931	true
2	0.42	0.039242841646391025	true
2	0.43	0.04525972895346336	true
2	0.44	0.05139629201403595	true
2	0.45	0.05765102140511086	true
2	0.46	0.0640224495679591	true
2	0.47	0.07050914903036254	true
2	0.48	0.07710973073439342	true
2	0.49	0.08382284246185256	true
2	0.5	0.09064716735015993	true
2	0.51	0.09758142249210722	true
2	0.52	0.10462435761342675	true
2	0.53	0.11177475382265012	true
2	0.54	0.1190314224281746	true
2	0.55	0.12639320381788766	true
2	0.56	0.1338589663970714	true
2	0.57	0.14142760558065764	true
2	0.58	0.1490980428362242	true
2	0.59	0.15686922477440451	true
2	0.6	0.16474012228364926	true
2	0.61	0.17270972970651477	true
2	0.62	0.18077706405487753	true
2	0.63	0.1889411642616604	true
2	0.64	0.19720109046685452	true
2	0.65	0.20555592333577366	true
2	0.66	0.21400476340763508	true
2	0.67	0.22254673047270224	true
2	0.68	0.23118096297634594	true
2	0.69	0.23990661744850283	true
2	0.7	0.24872286795711596	true
2	0.71	0.25762890558423124	true
2	0.72	0.2666239379235352	true
2	0.73	0.2757071885981739	true
2	0.74	0.2848778967977932	true
2	0.75	0.2941353168337977	true
2	0.76	0.30347871771189205	true
2	0.77	0.31290738272103413	true
2	0.78	0.32242060903797165	true
2	0.79	0.3320177073466031	true
2	0.8	0.34169800147143004	true
2	0.81	0.3514608280244299	true
2	0.82	0.3613055360647033	true
2	0.83	0.37123148677030104	true
2	0.84	0.38123805312165693	true
2	0.85	0.3913246195961001	true
2	0.86	0.4014905818729315	true
2	0.87	0.4117353465485961	true
2	0.88	0.4220583308614997	true
2	0.89	0.43245896242603543	true
2	0.9	0.44293667897542677	true
2	0.91	0.45349092811299596	true
2	0.92	0.4641211670715003	true
2	0.93	0.474826862480187	true
2	0.94	0.48560749013924565	true
2	0.95	0.4964625348013394	true
2	0.96	0.5073914899599311	true
2	0.97	0.5183938576441077	true
2	0.98	0.5294691482196535	true
2	0.99	0.540616880196101	true
2	1.0	0.5518365800395306	true
3	0.0	-0.06293067341935273	true
3	0.01	-0.06367097188572787	true
3	0.02	-0.06412619999540158	true
3	0.03	-0.06430643326949606	true
3	0.04	-0.06422106472144792	true
3	0.05	-0.06387886316590086	true
3	0.06	-0.06328802636011378	true
3	0.07	-0.0624562293723444	true
3	0.08	-0.06139066855951952	true
3	0.09	-0.060098101519959125	true
3	0.1	-0.05858488336748001	true
3	0.11	-0.056856999652015454	true
3	0.12	-0.05492009622983438	true
3	0.13	-0.052779506364229	true
3	0.14	-0.0504402753156343	true
3	0.15	-0.047907182658931305	true
3	0.16	-0.045184762545410984	true
3	0.17	-0.042277322107708765	true
3	0.18	-0.03918895818803654	true
3	0.19	-0.03592357255332297	true
3	0.2	-0.03248488574539213	true
3	0.21	-0.028876449700070667	true
3	0.22	-0.025101659256064668	true
3	0.23	-0.021163762662526953	true
3	0.24	-0.017065871183393977	true
3	0.25	-0.01281096788673522	true
3	0.26	-0.008401915698436818	true
3	0.27	-0.003841464791503435	true
3	0.28	0.0008677406250053588	true
3	0.29	0.005723156059922463	true
3	0.3	0.010722330985200507	true
3	0.31	0.015862903526095845	true
3	0.32	0.021142595554723143	true
3	0.33	0.02655920814964724	true
3	0.34	0.03211061738797599	true
3	0.35	0.037794770439837644	true
3	0.36	0.043609681938165945	true
3	0.37	0.04955343059945866	true
3	0.38	0.05562415607360616	true
3	0.39	0.06182005600307944	true
3	0.4	0.06813938327371999	true
3	0.41	0.07458044344112003	true
3	0.42	0.08114159231814755	true
3	0.43	0.08782123371057066	true
3	0.44	0.0946178172889906	true
3	0.45	0.10152983658640813	true
3	0.46	0.10855582711176315	true
3	0.47	0.11569436457067656	true
3	0.48	0.12294406318544265	true
3	0.49	0.13030357410703625	true
3	0.5	0.1377715839125524	true
3	0.51	0.14534681318208298	true
3	0.52	0.15302801514955627	true
3	0.53	0.16081397442254175	true
3	0.54	0.16870350576644527	true
3	0.55	0.1766954529489071	true
3	0.56	0.18478868764055645	true
3	0.57	0.19298210836859536	true
3	0.58	0.2012746395199616	true
3	0.59	0.20966523039108026	true
3	0.6	0.21815285428144188	true
3	0.61	0.22673650762845854	true
3	0.62	0.23541520918123698	true
3	0.63	0.2441879992110858	true
3	0.64	0.2530539387567261	true
3	0.65	0.2620121089023215	true
3	0.66	0.27106161008657637	true
3	0.67	0.2802015614412694	true
3	0.68	0.28943110015769824	true
3	0.69	0.29874938087961156	true
3	0.7	0.30815557512130287	true
3	0.71	0.3176488707096139	true
3	0.72	0.32722847124868426	true
3	0.73	0.336893595606351	true
3	0.74	0.3466434774211621	true
3	0.75	0.35647736462904545	true
3	0.76	0.3663945190087101	true
3	0.77	0.3763942157449255	true
3	0.78	0.3864757430088649	true
3	0.79	0.39663840155474794	true
3	0.8	0.40688150433205195	true
3	0.81	0.4172043761126141	true
3	0.82	0.42760635313196715	true
3	0.83	0.43808678274429624	true
3	0.84	0.44864502309042964	true
3	0.85	0.4592804427783167	true
3	0.86	0.4699924205754491	true
3	0.87	0.4807803451127456	true
3	0.88	0.4916436145994062	true
3	0.89	0.5025816365482868	true
3	0.9	0.5135938275113705	true
3	0.91	0.5246796128249065	true
3	0.92	0.5358384263638426	true
3	0.93	0.5470697103051585	true
3	0.94	0.5583729148997579	true
3	0.95	0.5697474982525643	true
3	0.96	0.5811929261105043	true
3	0.97	0.5927086716580577	true
3	0.98	0.6042942153200833	true
3	0.99	0.6159490445716286	true
3	1.0	0.6276726537544568	true
4	0.0	-0.051853344806403724	true
4	0.01	-0.05295107574694539	true
4	0.02	-0.05378199923321586	true
4	0.03	-0.05435492984337091	true
4	0.04	-0.05467815896232164	true
4	0.05	-0.05475949343172809	true
4	0.06	-0.05460629112261531	true
4	0.07	-0.054225493654718564	true
4	0.08	-0.053623656478119515	true
4	0.09	-0.052806976522499334	true
4	0.1	-0.05178131760801641	true
4	0.11	-0.05055223379990914	true
4	0.12	-0.04912499087680808	true
4	0.13	-0.04750458607067382	true
4	0.14	-0.04569576622451273	true
4	0.15	-0.043703044502655386	true
4	0.16	-0.04153071577757837	true
4	0.17	-0.039182870807012424	true
4	0.18	-0.03666340930549872	true
4	0.19	-0.03397605200561091	true
4	0.2	-0.031124351795772526	true
4	0.21	-0.02811170401393101	true
4	0.22	-0.024941355969312462	true
4	0.23	-0.021616415758002855	true
4	0.24	-0.01813986043219626	true
4	0.25	-0.014514543577534761	true
4	0.26	-0.010743202348054537	true
4	0.27	-0.00682846400376233	true
4	0.28	-0.0027728519917980254	true
4	0.29	0.0014212083915514373	true
4	0.3	0.005751384724084901	true
4	0.31	0.010215432535291918	true
4	0.32	0.014811190710220301	true
4	0.33	0.019536577193980276	true
