panel	column	draw	log_group_sd	coordinate
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	35	-0.7412303291951472	0.6538941120845803
1: region 6 intercept, rho=0.99	1. CP	36	-0.6232370262882803	0.7539181807527129
1: region 6 intercept, rho=0.99	2. NCP	36	-0.6232370262882803	1.4060236244390034
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	36	-0.6232370262882803	0.7583039442130634
1: region 6 intercept, rho=0.99	1. CP	37	-0.5506440731267698	0.5361451802982028
1: region 6 intercept, rho=0.99	2. NCP	37	-0.5506440731267698	0.9298739657710573
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	37	-0.5506440731267698	0.538652687292836
1: region 6 intercept, rho=0.99	1. CP	38	-0.5334580320467136	0.7214547798340478
1: region 6 intercept, rho=0.99	2. NCP	38	-0.5334580320467136	1.2299486912724875
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	38	-0.5334580320467136	0.7248433213239596
1: region 6 intercept, rho=0.99	1. CP	39	-0.4153011845947914	0.6771042246439695
1: region 6 intercept, rho=0.99	2. NCP	39	-0.4153011845947914	1.025695703427753
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	39	-0.4153011845947914	0.6793849112825209
1: region 6 intercept, rho=0.99	1. CP	40	-0.1656792568085114	0.5716313912276286
1: region 6 intercept, rho=0.99	2. NCP	40	-0.1656792568085114	0.6746362249024097
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	40	-0.1656792568085114	0.5722766856978913
1: region 6 intercept, rho=0.99	1. CP	41	-0.48976332835421815	0.6538978261832223
1: region 6 intercept, rho=0.99	2. NCP	41	-0.48976332835421815	1.0671154420157596
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	41	-0.48976332835421815	0.6566142448683921
1: region 6 intercept, rho=0.99	1. CP	42	-0.5044464576847146	0.6379265366771008
1: region 6 intercept, rho=0.99	2. NCP	42	-0.5044464576847146	1.0564500826841163
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	42	-0.5044464576847146	0.6406474649404089
1: region 6 intercept, rho=0.99	1. CP	43	-0.5468407535242386	0.6729560525231792
1: region 6 intercept, rho=0.99	2. NCP	43	-0.5468407535242386	1.1627239687321556
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	43	-0.5468407535242386	0.6761308075136446
1: region 6 intercept, rho=0.99	1. CP	44	-0.5604544710687616	0.655441148045685
1: region 6 intercept, rho=0.99	2. NCP	44	-0.5604544710687616	1.1479844006068918
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	44	-0.5604544710687616	0.6587112172903803
1: region 6 intercept, rho=0.99	1. CP	45	-0.8817898187932476	0.6647595653898285
1: region 6 intercept, rho=0.99	2. NCP	45	-0.8817898187932476	1.6055396960571209
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	45	-0.8817898187932476	0.6709987951547415
1: region 6 intercept, rho=0.99	1. CP	46	-0.675686608244988	0.6914740573293974
1: region 6 intercept, rho=0.99	2. NCP	46	-0.675686608244988	1.359010638265372
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	46	-0.675686608244988	0.6960061627815617
1: region 6 intercept, rho=0.99	1. CP	47	-0.5138980580222798	0.5265987935284517
1: region 6 intercept, rho=0.99	2. NCP	47	-0.5138980580222798	0.8803653695931505
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	47	-0.5138980580222798	0.5288315778662569
1: region 6 intercept, rho=0.99	1. CP	48	-0.8220629985002752	0.6373776559401525
1: region 6 intercept, rho=0.99	2. NCP	48	-0.8220629985002752	1.4501544469273577
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	48	-0.8220629985002752	0.6427092625131648
1: region 6 intercept, rho=0.99	1. CP	49	-0.39405402024089575	0.5512896344272213
1: region 6 intercept, rho=0.99	2. NCP	49	-0.39405402024089575	0.8175518645266342
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	49	-0.39405402024089575	0.5530220886363103
1: region 6 intercept, rho=0.99	1. CP	50	-1.3060021576992533	0.706738507600799
1: region 6 intercept, rho=0.99	2. NCP	50	-1.3060021576992533	2.6088450511147774
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	50	-1.3060021576992533	0.7196369398471504
1: region 6 intercept, rho=0.99	1. CP	51	0.8362666064918308	0.6698546119848248
1: region 6 intercept, rho=0.99	2. NCP	51	0.8362666064918308	0.29026493802236897
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	51	0.8362666064918308	0.6674475400033313
1: region 6 intercept, rho=0.99	1. CP	52	0.9002616032361465	0.6179937940247896
1: region 6 intercept, rho=0.99	2. NCP	52	0.9002616032361465	0.25119180537321895
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	52	0.9002616032361465	0.6157034221431318
1: region 6 intercept, rho=0.99	1. CP	53	0.4443191970825781	0.9058948431360995
1: region 6 intercept, rho=0.99	2. NCP	53	0.4443191970825781	0.5809147608837808
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	53	0.4443191970825781	0.9035909319356916
1: region 6 intercept, rho=0.99	1. CP	54	-0.7406453050312447	0.7045877370807391
1: region 6 intercept, rho=0.99	2. NCP	54	-0.7406453050312447	1.477723736176842
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	54	-0.7406453050312447	0.7095978354930322
1: region 6 intercept, rho=0.99	1. CP	55	-0.5060044163833455	0.755330688297963
1: region 6 intercept, rho=0.99	2. NCP	55	-0.5060044163833455	1.2528297446419778
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	55	-0.5060044163833455	0.7587111073974703
1: region 6 intercept, rho=0.99	1. CP	56	-0.4179725971770023	0.7682076854013904
1: region 6 intercept, rho=0.99	2. NCP	56	-0.4179725971770023	1.1668145611398806
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	56	-0.4179725971770023	0.7709012560654032
1: region 6 intercept, rho=0.99	1. CP	57	-0.670484469384544	0.5947483614422805
1: region 6 intercept, rho=0.99	2. NCP	57	-0.670484469384544	1.1628426695463079
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	57	-0.670484469384544	0.5984232958145241
1: region 6 intercept, rho=0.99	1. CP	58	-0.8468489250907915	0.6490012972308332
1: region 6 intercept, rho=0.99	2. NCP	58	-0.8468489250907915	1.5136566737415784
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	58	-0.8468489250907915	0.654710353426341
1: region 6 intercept, rho=0.99	1. CP	59	-0.7372677058704751	0.5441578502244253
