arm	parameter	mean	mcse	bulk_ess	mean_difference_mcse
s2z_ncp_native	region_3_total_intercept	2.253080304138944	0.0012621611496806667	774.8721886352461	0.37573532867304327
s2z_ncp_native	region_4_total_intercept	1.9182045786915678	0.0009417858318076811	1091.6419738566656	0.25955906106652693
s2z_ncp_native	region_5_total_intercept	2.2823740843413023	0.0008719260686427964	1348.2715093256313	0.339178550227982
s2z_ncp_native	region_6_total_intercept	2.917957960589016	0.0026617482722022085	1554.6175221201343	0.7944137448075516
s2z_ncp_whmc	population_intercept_at_mean_log_sat	3.460273336379386	0.005645648621690808	1809.2961917095708	0.5589963894726859
s2z_ncp_whmc	population_log_sat_slope	0.4277655541722994	0.0004286740394220056	358.64988832391964	0.1056356254521979
s2z_ncp_whmc	group_sd_1	0.5872176252887098	0.017375723503257102	68.59472929037197	5.885399261494012
s2z_ncp_whmc	residual_sd	0.3766628828946313	0.00014101667211347975	669.3183739313587	0.030148057355083434
s2z_ncp_whmc	region_1_total_intercept	2.6668294087813127	0.0026404048029956906	972.9432074080152	0.15500239112839298
s2z_ncp_whmc	region_2_total_intercept	1.4490826746692083	0.0009534771069029086	446.6180848862527	0.052637872576954854
s2z_ncp_whmc	region_3_total_intercept	2.2521027581354844	0.0017749760443707282	340.9325398486914	0.1815000835754411
s2z_ncp_whmc	region_4_total_intercept	1.9183431029339917	0.0009811260938661498	911.1772334228195	0.13991330497921914
s2z_ncp_whmc	region_5_total_intercept	2.2805326482296495	0.0011594621444257242	732.7871672860314	1.0390166268037078
s2z_ncp_whmc	region_6_total_intercept	2.9173075120501673	0.0039001757120697544	774.3014162064303	0.7532508296814483
total_cp	population_intercept_at_mean_log_sat	3.455084276210858	0.007368670793667509	1727.014811769472	0.0
total_cp	population_log_sat_slope	0.4277135452043225	0.0002421575210787436	1122.7688935077683	0.0
total_cp	group_sd_1	0.6982391709362423	0.007343753514220659	2919.7128269377154	0.0
total_cp	residual_sd	0.37665831340657724	5.5562848913001385e-5	3963.2732568898687	0.0
total_cp	region_1_total_intercept	2.6663615222022163	0.0014628966847929025	2848.6657459499443	0.0
total_cp	region_2_total_intercept	1.4491398034410004	0.0005184536074718908	1491.3939003491412	0.0
total_cp	region_3_total_intercept	2.2524732815627138	0.0010084542529770332	1058.352499675998	0.0
total_cp	region_4_total_intercept	1.9185145809883217	0.0007345014223933202	1591.0630113389736	0.0
total_cp	region_5_total_intercept	2.2819793296357256	0.0007709109951507281	1621.8087149432572	0.0
total_cp	region_6_total_intercept	2.9206250997499157	0.0020462196776070297	2866.970243867313	0.0
total_ncp	population_intercept_at_mean_log_sat	3.45338199291587	0.006561240607420784	1881.8957922750376	0.17253218914322108
total_ncp	population_log_sat_slope	0.42756877221807327	0.00017317757218521043	2256.462634709714	0.48629001644862085
total_ncp	group_sd_1	0.6640348693576498	0.02223734580993486	101.01501395708598	1.4605620785097213
total_ncp	residual_sd	0.3766042405692565	7.471494572521631e-5	2101.1072505309853	0.5807387403349281
total_ncp	region_1_total_intercept	2.6654859238076014	0.0015181359910284545	2592.078921106558	0.41531600599183405
total_ncp	region_2_total_intercept	1.4495233297754317	0.0004530813614842005	2009.3250398974067	0.5570200262080724
total_ncp	region_3_total_intercept	2.2529137412632125	0.0007076236529400118	2075.5441405187294	0.35752927443466875
total_ncp	region_4_total_intercept	1.918877958734352	0.000628922186831007	2410.1279991596793	0.37578919340675154
total_ncp	region_5_total_intercept	2.2822965402647384	0.0006426160577403412	2455.010334659907	0.3160655182893072
total_ncp	region_6_total_intercept	2.9162123982230703	0.002737233180586594	1634.9595275631887	1.2911989455149755
total_online_gradient	population_intercept_at_mean_log_sat	3.452480596538081	0.007239711368400364	1839.9714504278459	0.25204814594994956
total_online_gradient	population_log_sat_slope	0.42826548254798397	0.00028375981106292734	889.6516922416123	1.4795605133027594
total_online_gradient	group_sd_1	0.7095135568703591	0.007569875721241054	3569.2722039072437	1.0689924520207277
total_online_gradient	residual_sd	0.3766967992891887	5.778988778043794e-5	3508.033560309189	0.48006565357512887
total_online_gradient	region_1_total_intercept	2.6641782376688807	0.0018721430942956736	1899.9846000611356	0.9189224996747586
total_online_gradient	region_2_total_intercept	1.4476247215201639	0.0006269945502855832	1099.0506052343856	1.8622353863964947
total_online_gradient	region_3_total_intercept	2.250170054853639	0.0011812993198375243	830.2951807827999	1.482885784721675
