coordinate	candidate	loss
4	0.32	-0.24512502941224273
4	0.33	-0.24809543930192252
4	0.34	-0.25112810047405504
4	0.35	-0.2542246762093145
4	0.36	-0.25738686729297794
4	0.37	-0.26061641103633576
4	0.38	-0.2639150799732011
4	0.39	-0.26728468018483476
4	0.4	-0.2707270492007513
4	0.41	-0.2742440534166765
4	0.42	-0.2778375849638826
4	0.43	-0.28150955795650584
4	0.44	-0.2852619040349455
4	0.45	-0.2890965671141437
4	0.46	-0.2930154972356516
4	0.47	-0.2970206434110883
4	0.48	-0.3011139453329393
4	0.49	-0.3052973238157709
4	0.5	-0.30957266981726167
4	0.51	-0.31394183187392527
4	0.52	-0.3184066017713226
4	0.53	-0.32296869825266666
4	0.54	-0.3276297485535628
4	0.55	-0.33239126753469417
4	0.56	-0.337254634168283
4	0.57	-0.3422210651194478
4	0.58	-0.347291585150416
4	0.59	-0.3524669940648999
4	0.6	-0.35774782990306125
4	0.61	-0.36313432809563695
4	0.62	-0.36862637629066214
4	0.63	-0.37422346458012845
4	0.64	-0.3799246308787691
4	0.65	-0.38572840124632646
4	0.66	-0.3916327250011136
4	0.67	-0.3976349045500859
4	0.68	-0.4037315199633275
4	0.69	-0.4099183484529338
4	0.7	-0.41619027908254413
4	0.71	-0.42254122323865845
4	0.72	-0.4289640216427208
4	0.73	-0.4354503489771064
4	0.74	-0.44199061754087005
4	0.75	-0.4485738817425897
4	0.76	-0.45518774567508913
4	0.77	-0.4618182764937822
4	0.78	-0.4684499268253975
4	0.79	-0.4750654699491356
4	0.8	-0.4816459519935432
4	0.81	-0.4881706658464895
4	0.82	-0.49461715184199
4	0.83	-0.5009612305170478
4	0.84	-0.5071770727687918
4	0.85	-0.5132373125274061
4	0.86	-0.5191132065344528
4	0.87	-0.524774844926023
4	0.88	-0.5301914150259965
4	0.89	-0.5353315190388835
4	0.9	-0.5401635442074315
4	0.91	-0.5446560815196635
4	0.92	-0.5487783863103091
4	0.93	-0.5525008712464801
4	0.94	-0.5557956194037625
4	0.95	-0.5586369026460688
4	0.96	-0.5610016885555489
4	0.97	-0.5628701179442979
4	0.98	-0.5642259347092445
4	0.99	-0.5650568505942956
4	1.0	-0.5653548293424453
5	0.0	-0.14664827666777644
5	0.01	-0.1478234378313546
5	0.02	-0.1490201272727665
5	0.03	-0.1502389546940107
5	0.04	-0.1514805521950378
5	0.05	-0.15274557527680083
5	0.06	-0.15403470389640686
5	0.07	-0.1553486435772428
5	0.08	-0.1566881265773582
5	0.09	-0.15805391311936845
5	0.1	-0.15944679268551962
5	0.11	-0.1608675853815568
5	0.12	-0.16231714337357955
5	0.13	-0.16379635240187626
5	0.14	-0.16530613337642738
5	0.15	-0.16684744405857896
5	0.16	-0.1684212808340696
5	0.17	-0.17002868058254453
5	0.18	-0.17167072264913022
5	0.19	-0.17334853092392566
5	0.2	-0.1750632760355562
5	0.21	-0.17681617766516994
5	0.22	-0.1786085069877171
5	0.23	-0.18044158924746198
5	0.24	-0.1823168064751804
5	0.25	-0.18423560035464104
5	0.26	-0.18619947524624167
5	0.27	-0.18821000137601335
5	0.28	-0.19026881819839192
5	0.29	-0.19237763794113244
5	0.3	-0.19453824934118755
5	0.31	-0.19675252157999462
5	0.32	-0.19902240842685803
5	0.33	-0.20134995259861682
5	0.34	-0.20373729034353544
5	0.35	-0.2061866562567896
5	0.36	-0.20870038833385418
5	0.37	-0.21128093326712774
5	0.38	-0.21393085198940523
5	0.39	-0.21665282546589137
5	0.4	-0.21944966073359976
5	0.41	-0.22232429718388208
5	0.42	-0.22527981307946515
5	0.43	-0.22831943229209853
5	0.44	-0.23144653124060438
5	0.45	-0.23466464600082435
5	0.46	-0.23797747954931114
5	0.47	-0.24138890909037272
5	0.48	-0.2449029934014628
5	0.49	-0.24852398011384008
5	0.5	-0.25225631282377503
5	0.51	-0.25610463790305793
5	0.52	-0.26007381084579584
5	0.53	-0.26416890194988923
5	0.54	-0.2683952010852851
5	0.55	-0.2727582212454064
5	0.56	-0.2772637005112418
5	0.57	-0.2819176019775761
5	0.58	-0.2867261110952249
5	0.59	-0.29169562976904995
5	0.6	-0.29683276641609163
5	0.61	-0.30214432102754724
5	0.62	-0.3076372640886243
5	0.63	-0.31331870798739414
5	0.64	-0.31919586928285526
5	0.65	-0.3252760198991947
5	0.66	-0.33156642496307365
5	0.67	-0.33807426460067735
5	0.68	-0.3448065365587187
5	0.69	-0.3517699360099315
5	0.7	-0.35897070835339284
5	0.71	-0.3664144702351592
5	0.72	-0.37410599341591205
5	0.73	-0.382048945534363
5	0.74	-0.3902455813110932
5	0.75	-0.39869637738567537
5	0.76	-0.4073996038915672
5	0.77	-0.41635082620117053
5	0.78	-0.4255423312211282
5	0.79	-0.4349624744471813
5	0.8	-0.4445949470226567
5	0.81	-0.4544179666664065
5	0.82	-0.4644034029646042
5	0.83	-0.4745158565720793
5	0.84	-0.484711723678285
5	0.85	-0.49493829179478877
5	0.86	-0.5051329302749838
5	0.87	-0.5152224581438609
5	0.88	-0.5251227911055907
5	0.89	-0.5347389862361857
5	0.9	-0.543965812885742
5	0.91	-0.5526889766747585
5	0.92	-0.5607871046191943
5	0.93	-0.5681345583749958
5	0.94	-0.5746050765761587
5	0.95	-0.580076157647698
5	0.96	-0.5844339886506198
5	0.97	-0.5875786177182983
5	0.98	-0.589428977139942
5	0.99	-0.5899273129367776
